DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,40.00,40.20,40.30,39.35,39.45,39.45,39.81,2245124,3700,679320,30.26
03-Aug-2016,39.45,39.45,39.45,38.60,38.90,38.85,39.08,2544928,5109,740169,29.08
04-Aug-2016,38.85,39.40,39.40,38.70,39.00,39.00,39.05,2294879,7175,713246,31.08
05-Aug-2016,39.00,39.50,39.85,39.00,39.75,39.70,39.35,2750743,3463,672754,24.46
08-Aug-2016,39.70,39.75,40.25,39.60,39.80,39.85,39.96,2005475,3415,629660,31.40
09-Aug-2016,39.85,39.85,40.00,39.40,39.45,39.60,39.71,1627351,2945,508145,31.23
10-Aug-2016,39.60,39.60,39.70,38.35,38.40,38.50,38.94,2803235,4336,659834,23.54
11-Aug-2016,38.50,38.45,39.50,38.30,39.40,39.30,38.95,2760168,5139,964498,34.94
12-Aug-2016,39.30,39.45,39.60,38.95,39.15,39.10,39.25,1033854,2339,304943,29.50
16-Aug-2016,39.10,39.10,39.50,38.90,39.10,39.10,39.11,2028183,2814,523228,25.80
17-Aug-2016,39.10,39.25,39.60,38.90,39.10,39.10,39.23,2018050,2024,363890,18.03
18-Aug-2016,39.10,39.40,39.75,39.20,39.20,39.30,39.45,1318725,2565,272665,20.68
19-Aug-2016,39.30,39.45,40.25,39.15,40.10,39.95,39.68,1700525,2473,452877,26.63
22-Aug-2016,39.95,39.95,40.25,39.20,39.45,39.60,39.68,3057718,3101,1344116,43.96
23-Aug-2016,39.60,39.60,39.85,39.20,39.35,39.45,39.56,831656,1431,196190,23.59
24-Aug-2016,39.45,39.45,41.15,39.45,40.90,40.95,40.61,5325286,8843,1427963,26.81
25-Aug-2016,40.95,41.15,41.25,40.10,40.20,40.30,40.84,4091665,4717,1149778,28.10
26-Aug-2016,40.30,40.35,40.55,39.55,39.95,40.00,40.02,1844355,2945,545855,29.60
29-Aug-2016,40.00,39.70,40.70,39.60,40.45,40.50,40.28,2328298,4225,513623,22.06
30-Aug-2016,40.50,40.55,42.35,40.55,41.80,41.95,41.64,7762868,9479,3423712,44.10
31-Aug-2016,41.95,42.00,43.25,41.75,42.10,42.15,42.58,7423760,10952,2551359,34.37
01-Sep-2016,42.15,42.25,43.00,41.55,41.95,41.80,42.32,5443120,7451,1840221,33.81
02-Sep-2016,41.80,41.90,42.50,41.55,41.95,41.80,41.88,2218764,9272,907830,40.92
06-Sep-2016,41.80,42.10,42.60,41.90,42.20,42.25,42.30,1580447,2940,516273,32.67
07-Sep-2016,42.25,42.50,42.60,40.95,41.10,41.05,41.56,3996176,31993,1734143,43.40
08-Sep-2016,41.05,41.25,42.20,41.00,41.45,41.35,41.50,2494439,10496,584093,23.42
09-Sep-2016,41.35,41.45,42.10,40.90,41.50,41.35,41.29,3877452,7921,2187175,56.41
12-Sep-2016,41.35,40.90,40.95,39.55,39.85,39.80,40.24,1911025,3361,567414,29.69
14-Sep-2016,39.80,40.15,40.50,39.00,40.30,40.25,40.12,2069975,5017,726019,35.07
15-Sep-2016,40.25,40.30,44.65,40.10,43.95,43.95,43.40,15319944,27270,3094199,20.20
16-Sep-2016,43.95,44.00,44.90,42.45,43.25,43.15,43.89,8769003,11466,1424332,16.24
19-Sep-2016,43.15,43.50,44.65,43.25,43.95,43.95,43.99,3496275,5899,1116967,31.95
20-Sep-2016,43.95,44.10,44.60,43.10,43.50,43.50,43.67,14557867,7702,7402563,50.85
21-Sep-2016,43.50,43.60,44.50,43.05,43.35,43.25,43.91,4054872,6989,1075485,26.52
22-Sep-2016,43.25,43.90,45.90,43.65,45.40,45.50,45.06,10399897,15197,2272412,21.85
23-Sep-2016,45.50,45.50,46.30,44.65,44.85,44.95,45.60,8970839,12896,2968222,33.09
26-Sep-2016,44.95,44.80,45.60,44.05,44.15,44.25,44.77,3728043,6035,828905,22.23
27-Sep-2016,44.25,44.40,45.25,43.90,44.60,44.45,44.64,3568205,5357,760057,21.30
28-Sep-2016,44.45,44.60,48.35,44.50,46.95,47.20,46.60,17455037,24395,3014988,17.27
29-Sep-2016,47.20,47.50,47.50,40.60,42.95,42.90,44.15,12689948,18279,2345578,18.48
30-Sep-2016,42.90,43.00,44.95,43.00,44.45,44.50,44.13,6393517,11059,1136133,17.77
03-Oct-2016,44.50,45.50,47.65,44.75,46.65,46.80,46.57,9960727,13555,2359752,23.69
04-Oct-2016,46.80,47.25,47.45,45.35,46.50,46.45,46.25,6252900,12085,1319446,21.10
05-Oct-2016,46.45,46.95,47.75,46.40,47.10,47.20,47.13,7603867,12118,1544949,20.32
06-Oct-2016,47.20,47.45,49.45,47.15,48.05,47.90,48.45,14480504,28784,2489339,17.19
07-Oct-2016,47.90,48.00,48.50,47.30,47.95,47.85,47.84,8094159,15754,2756622,34.06
10-Oct-2016,47.85,48.10,50.00,47.55,49.70,49.60,49.15,14301649,24932,4494385,31.43
13-Oct-2016,49.60,49.20,49.25,45.35,46.70,46.90,47.06,23664071,30214,8139551,34.40
14-Oct-2016,46.90,47.20,48.30,42.65,44.25,43.80,45.55,32553946,39932,6580262,20.21
17-Oct-2016,43.80,44.35,44.85,42.55,43.00,42.80,43.84,11563858,12261,3928004,33.97
