DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,415.70,417.40,419.00,406.20,409.25,407.65,413.13,52290,1817,33550,64.16
03-Aug-2016,407.65,409.85,414.00,405.25,406.70,408.60,408.96,30833,1241,18949,61.46
04-Aug-2016,408.60,407.70,413.80,407.00,413.00,412.40,410.99,53685,4332,30093,56.05
05-Aug-2016,412.40,415.15,422.35,412.00,421.30,417.60,414.98,41468,1503,27250,65.71
08-Aug-2016,417.60,422.00,435.00,416.50,417.85,417.80,425.68,147581,6304,55609,37.68
09-Aug-2016,417.80,424.80,426.90,417.00,419.45,418.95,421.65,27183,1267,12860,47.31
10-Aug-2016,418.95,421.70,423.25,411.50,413.60,413.45,415.80,35348,1254,21277,60.19
11-Aug-2016,413.45,414.85,434.90,411.00,419.80,421.90,416.68,1448456,6513,1241877,85.74
12-Aug-2016,421.90,421.90,424.70,412.25,413.00,413.60,416.66,99797,3339,64460,64.59
16-Aug-2016,413.60,414.50,416.75,411.00,412.95,412.50,413.84,40673,1741,24084,59.21
17-Aug-2016,412.50,412.30,415.85,408.00,409.00,409.15,411.00,36141,1283,27169,75.18
18-Aug-2016,409.15,410.95,426.00,410.95,424.00,421.55,418.29,86624,1974,54240,62.62
19-Aug-2016,421.55,422.85,427.90,416.50,421.00,423.55,421.35,69947,1972,48270,69.01
22-Aug-2016,423.55,423.00,429.90,418.80,423.40,422.80,423.14,56302,2291,32994,58.60
23-Aug-2016,422.80,423.95,428.00,422.45,426.50,426.10,425.74,62402,6384,43299,69.39
24-Aug-2016,426.10,428.00,439.20,424.05,433.90,435.00,434.87,200667,5749,122017,60.81
25-Aug-2016,435.00,435.75,478.90,435.75,463.00,462.25,462.88,1068843,24182,341672,31.97
26-Aug-2016,462.25,467.70,476.30,456.30,463.00,461.90,467.17,358419,10368,103954,29.00
29-Aug-2016,461.90,462.00,465.00,455.40,464.95,463.05,460.79,73937,3743,44262,59.86
30-Aug-2016,463.05,463.00,476.75,463.00,475.00,473.95,471.30,166434,5714,107184,64.40
31-Aug-2016,473.95,474.00,486.40,470.05,474.00,472.75,476.74,110316,3971,51611,46.78
01-Sep-2016,472.75,474.85,478.30,465.65,467.70,467.40,471.30,54372,2084,28294,52.04
02-Sep-2016,467.40,468.85,477.95,465.00,473.00,473.45,474.30,97439,3733,54871,56.31
06-Sep-2016,473.45,474.00,477.80,472.00,473.75,473.95,474.58,34913,1713,20614,59.04
07-Sep-2016,473.95,481.50,509.45,478.25,490.00,489.80,495.42,336945,10565,130787,38.82
08-Sep-2016,489.80,488.90,492.75,483.15,483.50,485.40,487.61,66060,2177,34969,52.94
09-Sep-2016,485.40,486.80,487.85,480.20,480.50,482.15,484.05,48607,1709,30192,62.11
12-Sep-2016,482.15,478.75,479.00,471.00,472.00,471.90,474.66,44252,2248,31868,72.01
14-Sep-2016,471.90,472.90,484.30,472.90,479.00,479.30,479.06,49170,2664,22645,46.05
15-Sep-2016,479.30,479.00,482.45,476.85,479.90,478.05,479.67,29884,1374,19384,64.86
16-Sep-2016,478.05,481.90,481.95,471.60,480.00,479.40,479.04,58782,2285,41804,71.12
19-Sep-2016,479.40,482.85,491.80,475.00,477.20,476.80,480.81,50772,2465,33637,66.25
20-Sep-2016,476.80,481.00,481.00,470.20,475.50,475.00,476.51,62337,2512,49105,78.77
21-Sep-2016,475.00,479.00,487.20,472.05,482.05,480.55,480.33,301580,4466,255456,84.71
