DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
06-Oct-2017,323.25,330.00,344.00,324.05,324.15,327.00,332.45,278393,8875,196738,70.67
09-Oct-2017,327.00,325.00,329.90,314.30,315.00,316.75,322.80,175505,2992,141379,80.56
10-Oct-2017,316.75,316.10,321.85,293.70,300.80,301.35,307.25,202788,3974,161385,79.58
11-Oct-2017,301.35,301.00,305.35,295.10,298.50,296.80,299.86,144848,3046,103478,71.44
12-Oct-2017,296.80,298.00,299.00,293.00,296.30,296.20,297.33,133374,1241,115805,86.83
13-Oct-2017,296.20,298.95,299.90,291.25,291.25,294.90,295.44,85816,1285,66373,77.34
16-Oct-2017,294.90,296.75,320.00,290.00,309.05,309.50,309.45,314744,5070,150313,47.76
17-Oct-2017,309.50,301.50,308.10,299.00,299.65,300.40,301.33,118592,3409,90084,75.96
18-Oct-2017,300.40,298.10,307.25,297.05,301.00,300.40,301.49,136200,1914,85091,62.48
19-Oct-2017,300.40,300.40,304.00,296.15,298.90,298.55,300.44,39115,471,33235,84.97
23-Oct-2017,298.55,300.00,303.90,293.10,300.40,297.75,297.14,165510,5214,111666,67.47
24-Oct-2017,297.75,300.40,310.50,296.25,301.50,302.70,304.50,288776,4745,209487,72.54
25-Oct-2017,302.70,302.55,308.65,295.50,295.50,296.80,298.22,88617,3729,66627,75.19
26-Oct-2017,296.80,296.55,299.85,293.00,294.30,295.15,296.26,88335,4161,56505,63.97
27-Oct-2017,295.15,295.00,298.45,293.05,294.25,295.70,295.85,77851,1584,41705,53.57
30-Oct-2017,295.70,297.05,297.05,291.50,293.70,295.30,294.27,93823,1874,61356,65.40
31-Oct-2017,295.30,295.85,298.35,293.10,296.25,297.15,295.39,94174,2492,64622,68.62
01-Nov-2017,297.15,296.00,299.05,293.20,295.00,296.80,296.38,138981,3362,92559,66.60
02-Nov-2017,296.80,295.10,307.40,294.35,303.00,303.55,302.73,168978,3153,101795,60.24
03-Nov-2017,303.55,305.05,313.80,303.40,309.00,308.80,308.37,321811,6288,176935,54.98
06-Nov-2017,308.80,308.00,308.65,302.00,305.00,306.90,306.48,74365,2308,50077,67.34
07-Nov-2017,306.90,306.10,307.00,296.00,303.10,301.00,301.57,125349,5901,91235,72.78
08-Nov-2017,301.00,301.00,304.20,292.00,300.95,297.95,296.95,90519,3133,53088,58.65
09-Nov-2017,297.95,300.05,305.65,283.20,285.00,287.15,291.54,242145,4638,166969,68.95
10-Nov-2017,287.15,297.50,309.00,286.95,305.05,305.65,298.11,452927,9478,351191,77.54
13-Nov-2017,305.65,305.00,305.00,290.10,290.50,292.15,293.68,215384,7877,176637,82.01
14-Nov-2017,292.15,293.00,294.95,286.25,289.80,291.00,290.82,79781,6329,56037,70.24
15-Nov-2017,291.00,291.00,294.00,281.00,281.05,282.85,284.39,104399,5321,77041,73.79
16-Nov-2017,282.85,287.95,288.00,277.00,278.10,278.50,279.88,75365,2114,54179,71.89
17-Nov-2017,278.50,280.90,285.00,274.95,281.00,282.25,281.20,124076,2774,79052,63.71
20-Nov-2017,282.25,285.00,285.00,276.35,279.50,282.85,282.19,57676,1728,36707,63.64
