DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,77.10,77.60,77.85,75.10,75.65,75.65,76.52,654832,4085,214390,32.74
03-Aug-2016,75.65,75.55,75.70,73.50,73.85,73.75,74.30,528222,3390,199589,37.79
04-Aug-2016,73.75,74.50,77.40,73.55,77.20,76.65,75.38,821774,4958,252762,30.76
05-Aug-2016,76.65,78.45,78.70,77.00,77.40,77.90,77.78,1283788,7398,329381,25.66
08-Aug-2016,77.90,78.35,79.25,76.85,77.80,77.95,78.20,957693,5408,203480,21.25
09-Aug-2016,77.95,78.15,78.20,75.60,76.40,76.15,76.49,530107,3375,163468,30.84
10-Aug-2016,76.15,76.50,76.65,73.05,73.40,73.35,74.34,717515,5608,326649,45.53
11-Aug-2016,73.35,73.35,74.05,72.50,73.85,73.50,73.38,439208,2903,124801,28.42
12-Aug-2016,73.50,74.05,75.35,73.50,74.20,74.35,74.47,535083,3440,202216,37.79
16-Aug-2016,74.35,74.95,74.95,72.15,73.75,73.70,73.72,571451,3906,89954,15.74
17-Aug-2016,73.70,73.55,75.75,73.45,74.80,74.75,74.84,711868,5738,138932,19.52
18-Aug-2016,74.75,75.10,77.30,74.80,76.60,76.80,76.11,752171,4220,239766,31.88
19-Aug-2016,76.80,77.70,79.70,77.00,78.60,78.90,78.24,1456851,10235,474553,32.57
22-Aug-2016,78.90,79.45,79.80,77.80,78.75,78.60,78.86,815997,4777,317161,38.87
23-Aug-2016,78.60,78.95,79.40,76.15,77.15,77.55,78.11,761647,5769,273021,35.85
24-Aug-2016,77.55,75.80,77.25,73.30,74.80,75.10,75.63,1493896,8439,289247,19.36
25-Aug-2016,75.10,75.30,76.30,73.75,74.05,74.10,75.11,696244,5021,183689,26.38
26-Aug-2016,74.10,74.75,75.10,73.05,73.25,73.40,73.85,527955,3558,153584,29.09
29-Aug-2016,73.40,73.75,75.10,70.80,74.30,74.25,73.67,689466,5134,161958,23.49
30-Aug-2016,74.25,75.00,75.60,73.05,73.90,73.85,74.45,601958,5143,183497,30.48
31-Aug-2016,73.85,74.20,76.70,73.50,74.15,74.40,75.02,1137891,6575,250712,22.03
01-Sep-2016,74.40,75.00,76.50,73.30,74.10,74.10,74.91,899562,5546,219800,24.43
02-Sep-2016,74.10,74.50,75.20,73.25,74.00,74.15,74.22,583316,4982,135033,23.15
06-Sep-2016,74.15,74.80,75.30,74.10,74.55,74.45,74.69,433877,3052,158917,36.63
07-Sep-2016,74.45,74.90,76.20,73.85,75.25,75.20,74.94,820664,4738,161499,19.68
08-Sep-2016,75.20,76.50,80.35,76.05,77.60,77.80,78.15,3075094,18949,658719,21.42
09-Sep-2016,77.80,78.05,78.50,76.50,77.10,77.05,77.47,783362,5383,215403,27.50
12-Sep-2016,77.05,75.50,75.50,73.25,73.65,73.50,74.48,559393,4222,228518,40.85
