DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,704.65,710.00,710.00,671.00,678.50,680.55,685.43,68651,2081,49343,71.88
03-Aug-2016,680.55,682.95,682.95,670.00,678.00,678.25,675.92,30537,1464,24705,80.90
04-Aug-2016,678.25,679.00,701.95,652.00,690.00,694.95,680.12,60043,4007,29114,48.49
05-Aug-2016,694.95,686.00,702.00,686.00,695.00,695.25,697.86,33425,1441,23390,69.98
08-Aug-2016,695.25,695.05,705.00,690.00,698.65,697.90,699.59,29492,2690,15570,52.79
09-Aug-2016,697.90,696.00,702.00,680.35,700.05,697.65,692.41,47778,5224,26328,55.10
10-Aug-2016,697.65,698.10,733.20,671.00,685.00,688.35,706.71,456861,15323,73933,16.18
11-Aug-2016,688.35,690.00,697.60,674.00,680.00,679.40,684.07,45426,1949,18675,41.11
12-Aug-2016,679.40,686.95,696.00,677.00,684.10,682.55,683.59,57022,2625,30341,53.21
16-Aug-2016,682.55,683.85,710.80,681.15,703.00,703.40,697.62,55233,2462,35804,64.82
17-Aug-2016,703.40,697.25,716.25,695.00,712.00,713.70,709.62,56537,2145,30397,53.76
18-Aug-2016,713.70,713.35,726.00,713.00,722.50,722.75,720.52,166386,4895,150233,90.29
19-Aug-2016,722.75,726.40,759.00,714.40,723.00,727.90,729.08,369686,5672,302851,81.92
22-Aug-2016,727.90,730.00,740.00,715.30,731.00,731.35,729.61,42690,2484,21421,50.18
23-Aug-2016,731.35,731.90,734.75,720.00,724.00,726.60,727.42,29809,1633,11225,37.66
24-Aug-2016,726.60,729.95,755.00,713.00,715.00,716.90,733.11,306540,3526,258820,84.43
25-Aug-2016,716.90,720.00,730.00,710.00,727.00,724.30,723.09,27908,2497,14668,52.56
26-Aug-2016,724.30,712.00,740.00,712.00,732.85,733.00,731.48,30917,1747,17059,55.18
29-Aug-2016,733.00,728.55,765.90,728.35,748.80,748.90,753.15,145037,4647,95644,65.94
30-Aug-2016,748.90,749.75,756.40,736.05,749.70,750.90,748.38,114478,2301,89809,78.45
31-Aug-2016,750.90,749.85,753.50,735.00,736.00,736.90,740.79,47592,2012,36791,77.31
01-Sep-2016,736.90,743.95,749.00,717.65,729.00,726.45,736.25,39875,1922,21163,53.07
02-Sep-2016,726.45,729.95,740.05,723.00,735.00,736.50,733.67,32944,1884,25348,76.94
06-Sep-2016,736.50,740.00,749.95,729.95,741.00,741.65,739.40,42692,2451,26326,61.66
07-Sep-2016,741.65,748.30,749.00,738.00,745.00,742.05,743.43,15158,888,8366,55.19
08-Sep-2016,742.05,744.20,748.70,736.00,736.00,738.90,741.12,9702,576,6577,67.79
09-Sep-2016,738.90,744.90,744.90,725.25,736.00,736.40,733.70,15589,1067,9710,62.29
12-Sep-2016,736.40,716.05,729.60,698.00,716.10,717.60,714.55,33874,2139,21062,62.18
14-Sep-2016,717.60,734.95,734.95,701.10,706.05,708.80,711.52,22965,876,15274,66.51
15-Sep-2016,708.80,713.20,719.95,703.00,708.00,706.55,709.39,16632,800,12284,73.86
16-Sep-2016,706.55,710.00,714.80,700.35,712.00,709.25,708.68,21907,1323,14104,64.38
19-Sep-2016,709.25,710.00,717.00,701.75,708.00,709.10,710.71,20104,1061,14026,69.77
20-Sep-2016,709.10,714.95,715.00,696.20,702.15,706.30,705.46,26412,1287,19814,75.02
21-Sep-2016,706.30,708.00,721.00,703.00,716.00,711.95,712.65,14275,1186,8266,57.91
22-Sep-2016,711.95,716.00,748.70,698.40,738.10,739.15,725.06,168891,7803,80277,47.53
23-Sep-2016,739.15,740.10,748.40,735.00,736.00,742.25,742.67,47609,4040,31623,66.42
26-Sep-2016,742.25,741.00,754.90,721.60,730.00,730.30,733.43,49417,3998,24833,50.25
27-Sep-2016,730.30,735.00,749.00,735.00,735.00,740.35,741.91,28888,1132,21555,74.62
28-Sep-2016,740.35,758.00,769.75,750.60,757.05,759.25,757.96,200584,4938,117673,58.67
29-Sep-2016,759.25,764.90,764.95,709.95,749.00,747.15,750.75,227057,8193,171142,75.37
30-Sep-2016,747.15,752.00,760.00,738.85,751.90,751.10,747.85,27383,1977,16151,58.98
03-Oct-2016,751.10,751.00,764.15,751.00,764.00,763.05,760.62,22058,1635,11471,52.00
04-Oct-2016,763.05,767.85,774.00,758.00,771.90,771.90,769.41,149483,3083,69691,46.62
05-Oct-2016,771.90,775.50,777.00,755.75,755.75,760.95,762.58,24931,3968,17892,71.77
06-Oct-2016,760.95,770.00,770.00,740.80,743.00,746.85,753.19,74011,2802,67123,90.69
07-Oct-2016,746.85,742.10,749.90,728.00,728.00,734.85,741.44,23023,1712,12167,52.85
10-Oct-2016,734.85,734.00,747.65,711.00,718.00,716.65,728.18,25201,1989,15606,61.93
13-Oct-2016,716.65,716.60,720.05,700.00,705.50,707.80,706.84,119596,2143,110613,92.49
14-Oct-2016,707.80,708.00,731.15,704.50,724.10,728.20,720.66,42364,4443,24932,58.85
17-Oct-2016,728.20,728.00,735.00,705.05,710.00,710.90,715.56,29117,2681,18295,62.83
18-Oct-2016,710.90,719.00,726.90,704.30,720.05,723.15,716.23,52587,4860,33317,63.36
19-Oct-2016,723.15,729.90,732.00,718.95,721.70,724.35,725.35,21427,1447,14349,66.97
20-Oct-2016,724.35,724.35,734.80,710.60,725.00,721.45,725.33,46240,1491,35186,76.09
21-Oct-2016,721.45,722.35,728.60,715.15,723.30,724.30,723.00,10944,820,7424,67.84
24-Oct-2016,724.30,721.60,753.00,721.60,723.20,729.45,738.61,31717,2297,12884,40.62
25-Oct-2016,729.45,733.70,733.70,721.00,723.30,723.65,724.40,9746,886,7044,72.28
26-Oct-2016,723.65,721.65,730.95,715.25,720.00,723.95,719.71,20800,1565,16010,76.97
27-Oct-2016,723.95,717.00,725.05,717.00,724.50,722.35,721.93,6438,515,3246,50.42
28-Oct-2016,722.35,722.00,732.55,715.10,721.45,722.40,721.51,83309,1995,66973,80.39
30-Oct-2016,722.40,725.00,735.95,720.50,726.00,729.80,729.01,7961,844,4155,52.19
01-Nov-2016,729.80,723.00,725.00,715.05,717.95,716.85,719.09,17035,1458,12975,76.17
02-Nov-2016,716.85,716.00,723.55,699.00,714.95,709.45,710.69,63122,2401,48925,77.51
03-Nov-2016,709.45,707.00,718.50,705.50,705.50,707.55,710.24,31374,3426,26339,83.95
04-Nov-2016,707.55,705.00,711.55,690.95,709.90,703.60,707.13,90240,3534,78444,86.93
07-Nov-2016,703.60,704.10,720.00,700.00,700.25,701.00,701.23,363815,942,7579,2.08
08-Nov-2016,701.00,701.65,719.00,700.00,701.25,702.15,706.52,62474,4485,34205,54.75
09-Nov-2016,702.15,682.20,728.00,562.00,720.00,693.95,678.21,107941,2780,82544,76.47
10-Nov-2016,693.95,705.70,716.35,693.00,700.00,700.60,700.45,35376,1754,24813,70.14
11-Nov-2016,700.60,695.85,701.95,675.00,697.00,696.95,692.86,26621,1424,18798,70.61
15-Nov-2016,696.95,696.00,696.00,646.00,669.90,668.75,662.83,27488,1641,19761,71.89
16-Nov-2016,668.75,675.00,701.00,650.00,657.00,663.05,665.70,38873,3021,28416,73.10
17-Nov-2016,663.05,663.90,699.00,661.05,672.55,683.90,676.58,17436,974,10949,62.80
18-Nov-2016,683.90,680.05,680.05,660.00,662.00,663.95,667.59,10643,714,6419,60.31
21-Nov-2016,663.95,664.05,679.95,625.45,625.45,630.50,639.81,49947,1310,42306,84.70
22-Nov-2016,630.50,631.95,637.30,609.60,615.00,614.90,618.02,88681,2545,75513,85.15
23-Nov-2016,614.90,620.05,624.00,604.00,620.00,618.00,619.04,175738,1955,168805,96.05
24-Nov-2016,618.00,623.95,684.00,611.55,672.00,666.55,645.06,249148,12572,50417,20.24
25-Nov-2016,666.55,666.55,675.00,615.00,640.00,639.90,637.01,112908,6338,50342,44.59
28-Nov-2016,639.90,646.45,646.65,618.00,618.00,620.15,634.77,208589,3410,186521,89.42
29-Nov-2016,620.15,629.95,630.00,618.30,626.00,625.70,621.34,374433,1270,362566,96.83
30-Nov-2016,625.70,644.00,644.00,602.50,617.00,614.60,622.22,151014,3713,129055,85.46
01-Dec-2016,614.60,625.45,634.90,611.95,615.00,620.20,625.67,44030,2189,32604,74.05
02-Dec-2016,620.20,615.05,617.05,605.00,608.95,607.85,607.96,64921,1317,60025,92.46
05-Dec-2016,607.85,610.05,620.95,605.55,616.00,616.90,613.44,9855,588,7414,75.23
06-Dec-2016,616.90,625.70,628.00,610.95,611.10,613.15,618.23,12304,689,6220,50.55
07-Dec-2016,613.15,615.00,619.50,535.50,617.00,613.35,578.99,936415,27231,328546,35.09
08-Dec-2016,613.35,616.00,626.00,585.00,591.10,590.30,598.99,115991,3692,72254,62.29
09-Dec-2016,590.30,613.00,613.00,570.05,573.00,573.90,582.28,48814,2759,27051,55.42
12-Dec-2016,573.90,574.00,589.00,548.00,549.95,550.85,563.36,127864,6333,108006,84.47
13-Dec-2016,550.85,555.85,575.00,541.00,565.00,569.30,561.43,133989,7340,74089,55.29
14-Dec-2016,569.30,572.00,579.00,562.00,573.15,574.00,572.29,63734,4050,37729,59.20
15-Dec-2016,574.00,575.00,581.35,562.05,570.00,566.00,570.21,55362,3214,37549,67.82
16-Dec-2016,566.00,572.95,573.00,558.10,562.00,565.30,562.10,136687,4189,118800,86.91
19-Dec-2016,565.30,564.30,574.00,548.95,558.00,553.35,556.01,43011,1951,27605,64.18
20-Dec-2016,553.35,565.00,565.00,531.00,540.00,539.00,546.16,83100,4705,63523,76.44
21-Dec-2016,539.00,545.90,553.80,532.00,552.50,547.40,544.14,97743,4927,51516,52.71
22-Dec-2016,547.40,552.00,554.45,539.85,544.50,547.65,544.86,84227,3728,58761,69.77
23-Dec-2016,547.65,547.65,549.00,527.50,531.90,529.30,533.30,118530,5083,102413,86.40
26-Dec-2016,529.30,530.00,530.80,506.10,520.00,523.95,519.01,62077,3543,30686,49.43
27-Dec-2016,523.95,529.20,534.00,515.15,519.05,522.30,522.94,78523,1521,69040,87.92
28-Dec-2016,522.30,523.55,528.00,514.00,517.00,519.75,521.47,55892,4712,39814,71.23
29-Dec-2016,519.75,520.05,532.45,511.00,519.20,523.05,522.52,57701,2685,40587,70.34
30-Dec-2016,523.05,523.55,566.10,518.50,545.50,551.90,546.14,208269,8059,111874,53.72
02-Jan-2017,551.90,551.00,560.00,535.30,559.00,553.30,546.67,42888,2523,25382,59.18
03-Jan-2017,553.30,559.00,564.00,542.00,545.00,544.45,550.10,27581,1741,19237,69.75
04-Jan-2017,544.45,549.20,557.00,542.00,552.15,554.05,551.58,64116,3190,34429,53.70
05-Jan-2017,554.05,553.50,558.95,543.00,544.10,550.10,550.20,81331,3026,70158,86.26
06-Jan-2017,550.10,548.00,565.95,532.95,537.55,537.65,553.35,113704,4508,59793,52.59
09-Jan-2017,537.65,538.00,548.70,533.00,537.50,535.15,539.85,29199,1968,19250,65.93
10-Jan-2017,535.15,539.55,544.00,534.00,538.50,539.00,539.91,33162,2357,25851,77.95
11-Jan-2017,539.00,544.95,553.45,540.00,543.50,542.35,545.20,50716,3915,30267,59.68
12-Jan-2017,542.35,542.05,546.95,538.10,542.00,541.80,542.03,14352,1180,10013,69.77
13-Jan-2017,541.80,541.25,570.00,540.00,559.00,560.70,561.43,160222,8299,90014,56.18
16-Jan-2017,560.70,560.70,568.65,552.55,562.00,561.20,560.32,37693,2317,25160,66.75
17-Jan-2017,561.20,561.00,566.00,550.55,558.90,556.00,558.08,45116,1563,39620,87.82
18-Jan-2017,556.00,559.55,589.70,554.55,582.00,586.00,573.22,424987,9239,234876,55.27
19-Jan-2017,586.00,588.90,605.00,580.10,600.30,601.95,595.20,109815,5482,49727,45.28
20-Jan-2017,601.95,607.95,615.00,597.00,605.00,602.35,607.47,397446,5688,353560,88.96
23-Jan-2017,602.35,601.00,611.00,599.55,607.00,608.70,607.37,46696,1724,29723,63.65
24-Jan-2017,608.70,619.70,622.50,610.00,618.50,621.45,617.07,69263,3160,52763,76.18
25-Jan-2017,621.45,625.00,637.95,618.00,635.20,635.00,630.82,75332,3237,46815,62.14
27-Jan-2017,635.00,639.80,642.40,629.00,638.00,636.30,636.21,34044,1723,20497,60.21
30-Jan-2017,636.30,636.00,648.20,619.85,620.20,626.85,633.92,48199,2199,32912,68.28
31-Jan-2017,626.85,626.00,635.95,618.00,630.00,628.60,625.95,54338,1705,42044,77.37
01-Feb-2017,628.60,628.65,645.00,621.95,644.10,644.50,638.92,46475,1584,35254,75.86
02-Feb-2017,644.50,645.00,655.00,632.00,635.20,637.30,640.57,19746,795,9981,50.55
03-Feb-2017,637.30,642.35,669.00,637.50,657.00,659.90,658.10,295736,11861,79911,27.02
06-Feb-2017,659.90,667.40,692.00,657.00,680.40,681.20,675.42,143086,6286,96657,67.55
07-Feb-2017,681.20,687.95,706.60,680.00,689.00,689.65,695.71,95381,4558,49529,51.93
08-Feb-2017,689.65,694.60,703.00,689.50,700.15,700.95,699.79,43146,2341,23160,53.68
09-Feb-2017,700.95,695.40,707.00,690.45,701.95,699.95,699.66,66418,5130,47929,72.16
10-Feb-2017,699.95,704.90,705.00,694.55,700.00,703.00,701.64,40497,1740,35510,87.69
13-Feb-2017,703.00,700.00,705.90,675.00,682.50,684.55,688.69,38416,2228,23667,61.61
14-Feb-2017,684.55,684.55,693.00,684.05,687.15,687.05,687.64,12844,1028,10394,80.92
15-Feb-2017,687.05,687.00,687.00,673.80,684.95,683.70,684.31,21836,607,18239,83.53
16-Feb-2017,683.70,686.00,695.00,677.90,695.00,690.90,687.68,13855,805,7492,54.07
17-Feb-2017,690.90,695.00,700.00,678.00,688.00,688.10,690.82,10814,690,7063,65.31
20-Feb-2017,688.10,699.60,699.90,688.25,696.00,695.80,695.71,12708,526,7706,60.64
21-Feb-2017,695.80,696.05,707.00,695.75,698.00,702.35,701.17,24444,1147,17563,71.85
22-Feb-2017,702.35,706.95,709.90,695.05,695.05,696.60,701.07,11991,519,5602,46.72
23-Feb-2017,696.60,700.00,702.00,686.95,688.05,689.00,695.35,28658,2257,12811,44.70
27-Feb-2017,689.00,692.00,704.90,686.75,704.80,698.40,697.35,16387,695,11891,72.56
28-Feb-2017,698.40,703.00,735.00,700.20,722.00,721.70,722.05,102981,4603,48922,47.51
01-Mar-2017,721.70,729.60,750.00,702.55,740.00,739.85,741.25,232259,10878,189953,81.78
02-Mar-2017,739.85,746.90,747.00,730.30,742.00,739.45,737.32,179404,6132,155330,86.58
03-Mar-2017,739.45,741.70,758.00,732.00,740.00,737.10,739.43,141001,2941,92588,65.66
06-Mar-2017,737.10,740.65,748.50,734.50,742.00,739.20,739.77,15976,1100,6385,39.97
07-Mar-2017,739.20,740.00,748.00,721.00,723.00,726.45,727.62,39864,2590,32805,82.29
08-Mar-2017,726.45,726.45,735.70,698.75,710.00,709.95,708.52,66820,3931,36001,53.88
09-Mar-2017,709.95,709.95,726.00,705.60,709.00,711.30,713.80,12892,1125,4901,38.02
