DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
03-Feb-2017,806.00,1085.00,1200.00,1065.10,1070.55,1069.20,1115.50,15771762,420239,6122689,38.82
06-Feb-2017,1069.20,1081.00,1087.80,1023.10,1027.00,1029.20,1052.50,2199600,74289,592739,26.95
07-Feb-2017,1029.20,1030.00,1035.95,1001.30,1006.30,1006.80,1015.48,1294146,47830,395031,30.52
08-Feb-2017,1006.80,1013.00,1034.85,998.70,1019.00,1022.60,1022.05,1187116,41573,223220,18.80
09-Feb-2017,1022.60,1025.00,1028.70,1007.15,1008.50,1010.05,1015.45,466684,19082,172661,37.00
10-Feb-2017,1010.05,1014.80,1024.00,1003.00,1005.50,1005.00,1011.99,420869,17576,143600,34.12
13-Feb-2017,1005.00,1009.00,1010.45,998.50,1000.00,1001.80,1001.72,503861,20503,204446,40.58
14-Feb-2017,1001.80,1004.90,1019.00,998.00,998.00,1004.00,1006.74,512893,21681,130153,25.38
15-Feb-2017,1004.00,1002.00,1009.90,977.70,981.25,981.70,994.92,444465,21024,214544,48.27
16-Feb-2017,981.70,983.00,987.20,961.00,962.55,963.90,968.09,390176,20836,179389,45.98
17-Feb-2017,963.90,971.00,978.00,964.00,965.90,967.20,969.54,253565,14544,92217,36.37
20-Feb-2017,967.20,967.20,976.40,963.10,973.00,971.15,971.03,199609,10025,74898,37.52
21-Feb-2017,971.15,975.00,994.90,971.70,983.35,984.25,986.11,333947,15773,88685,26.56
22-Feb-2017,984.25,982.00,986.65,971.30,973.00,974.25,978.54,136074,8691,53181,39.08
23-Feb-2017,974.25,974.80,976.75,965.00,965.00,965.90,969.25,120075,6854,57869,48.19
27-Feb-2017,965.90,962.00,968.75,952.40,953.80,954.10,958.98,206918,9713,107404,51.91
28-Feb-2017,954.10,955.05,964.90,942.00,943.50,946.95,954.16,211552,11920,100714,47.61
01-Mar-2017,946.95,945.00,954.00,932.00,933.20,934.10,943.27,242861,13970,108990,44.88
02-Mar-2017,934.10,938.60,942.50,915.00,915.00,917.20,928.34,299819,17409,136218,45.43
03-Mar-2017,917.20,915.00,916.90,886.50,886.50,890.70,895.32,838830,41887,518810,61.85
06-Mar-2017,890.70,890.00,954.75,890.00,951.10,947.20,930.09,1240425,50753,391627,31.57
07-Mar-2017,947.20,954.00,964.80,936.10,937.10,938.70,948.51,470176,21433,146681,31.20
08-Mar-2017,938.70,939.90,943.50,920.95,925.90,923.85,930.21,193077,10514,64383,33.35
09-Mar-2017,923.85,923.85,961.00,917.35,944.05,944.95,948.44,738561,30660,284557,38.53
10-Mar-2017,944.95,950.00,954.90,932.60,936.50,936.60,941.06,193951,10791,63603,32.79
14-Mar-2017,936.60,955.00,960.00,940.00,946.00,944.95,946.94,227271,10775,97977,43.11
15-Mar-2017,944.95,946.35,961.65,940.10,944.90,945.35,948.21,290746,15861,138573,47.66
16-Mar-2017,945.35,949.95,952.30,943.00,944.40,945.25,946.22,127467,10780,64062,50.26
17-Mar-2017,945.25,946.20,958.60,941.40,942.00,943.90,947.73,314643,8885,179689,57.11
20-Mar-2017,943.90,950.00,950.00,935.00,938.55,938.35,939.06,116056,7186,65869,56.76
21-Mar-2017,938.35,941.40,947.00,936.00,944.00,938.80,942.06,211103,14606,124875,59.15
22-Mar-2017,938.80,940.00,940.00,931.00,934.00,934.40,934.85,126858,5146,80441,63.41
23-Mar-2017,934.40,938.20,942.20,932.75,935.50,937.60,936.44,130766,5420,89481,68.43
24-Mar-2017,937.60,939.60,953.30,936.00,945.05,945.05,944.40,303936,7921,244554,80.46
27-Mar-2017,945.05,945.65,948.00,934.15,936.15,935.75,937.14,131550,3973,98530,74.90
28-Mar-2017,935.75,938.90,943.95,936.20,936.25,939.25,939.65,92227,9370,61944,67.16
29-Mar-2017,939.25,939.65,972.00,937.00,951.90,951.35,955.93,499299,19012,211076,42.27
30-Mar-2017,951.35,958.05,971.05,955.05,966.00,966.70,964.75,291000,13567,147477,50.68
31-Mar-2017,966.70,967.80,981.00,965.05,978.00,977.65,974.44,276768,8617,168727,60.96
03-Apr-2017,977.65,984.00,987.70,975.10,976.95,977.45,981.57,129583,5939,71816,55.42
05-Apr-2017,977.45,985.80,991.00,978.00,978.95,979.40,982.42,154857,11038,83414,53.87
06-Apr-2017,979.40,980.00,980.90,968.10,970.00,970.80,973.93,71641,3935,34256,47.82
07-Apr-2017,970.80,970.00,1004.40,966.00,990.00,991.95,986.84,258530,15812,126149,48.79
10-Apr-2017,991.95,995.00,1034.95,995.00,1027.90,1030.10,1020.38,532872,22433,200396,37.61
11-Apr-2017,1030.10,1035.00,1051.00,1018.05,1048.80,1043.65,1036.67,343038,12875,158360,46.16
12-Apr-2017,1043.65,1046.00,1054.80,1025.10,1043.15,1047.70,1040.41,280190,17051,130699,46.65
13-Apr-2017,1047.70,1040.00,1050.00,1026.00,1028.00,1029.60,1037.17,141067,5923,78697,55.79
17-Apr-2017,1029.60,1025.00,1028.95,1008.00,1009.00,1011.45,1016.45,146038,9714,94791,64.91
18-Apr-2017,1011.45,1019.00,1019.00,996.35,996.40,997.75,1007.47,101457,8593,58176,57.34
19-Apr-2017,997.75,1004.00,1014.00,988.00,999.50,1000.30,999.83,129689,10652,50742,39.13
20-Apr-2017,1000.30,1005.70,1017.60,1000.10,1011.60,1010.90,1010.70,88934,5984,44433,49.96
21-Apr-2017,1010.90,1011.20,1017.65,1003.05,1012.00,1010.40,1011.09,90311,5262,53476,59.21
24-Apr-2017,1010.40,1011.00,1015.05,1005.65,1008.95,1009.75,1010.03,191329,5987,168963,88.31
25-Apr-2017,1009.75,1012.00,1014.30,1000.05,1003.00,1005.20,1008.34,91184,4261,60419,66.26
26-Apr-2017,1005.20,1010.00,1017.00,1003.50,1007.90,1009.55,1009.13,127199,3978,81497,64.07
27-Apr-2017,1009.55,1010.00,1012.00,1005.45,1006.10,1007.80,1008.79,58177,3441,38275,65.79
28-Apr-2017,1007.80,1011.00,1015.00,996.85,1005.00,1004.45,1003.55,60260,2961,36615,60.76
02-May-2017,1004.45,1005.80,1022.00,1002.00,1005.00,1004.25,1012.15,106562,4852,55599,52.18
03-May-2017,1004.25,1006.10,1009.50,998.00,999.00,1002.75,1003.55,85654,4339,48533,56.66
04-May-2017,1002.75,1004.00,1010.00,998.00,999.50,1001.15,1004.43,69735,3243,43295,62.09
05-May-2017,1001.15,1006.00,1010.25,990.00,994.00,995.10,1000.99,308258,12436,78016,25.31
08-May-2017,995.10,1002.00,1013.95,1002.00,1006.10,1006.30,1006.60,190184,5224,152226,80.04
09-May-2017,1006.30,1009.00,1009.00,991.25,994.00,994.70,998.96,54268,2703,30753,56.67
10-May-2017,994.70,1006.00,1008.90,995.00,999.00,997.10,1001.27,53253,3310,26052,48.92
11-May-2017,997.10,1003.00,1003.75,997.00,1003.00,999.95,1000.21,180061,3393,156337,86.82
12-May-2017,999.95,1000.50,1004.80,978.00,982.00,981.80,990.78,119710,8998,84441,70.54
15-May-2017,981.80,985.20,1001.70,985.20,1001.00,998.00,994.12,64540,5221,34828,53.96
16-May-2017,998.00,1002.20,1089.40,1002.05,1062.95,1058.95,1058.73,1159346,59762,427693,36.89
17-May-2017,1058.95,1059.80,1084.50,1057.50,1074.95,1071.40,1070.59,316288,20333,112836,35.68
18-May-2017,1071.40,1061.60,1088.00,1051.00,1079.25,1080.60,1075.57,308362,16994,156381,50.71
19-May-2017,1080.60,1085.00,1099.90,1061.00,1079.90,1073.30,1076.51,183626,13406,91874,50.03
22-May-2017,1073.30,1079.00,1083.00,1066.00,1068.00,1067.05,1070.86,80736,6769,46298,57.34
23-May-2017,1067.05,1065.00,1074.00,1031.10,1053.90,1055.05,1052.93,184080,13583,92715,50.37
24-May-2017,1055.05,1057.70,1064.70,1045.75,1062.00,1055.75,1055.37,310901,8538,257238,82.74
25-May-2017,1055.75,1055.75,1061.00,1037.00,1042.00,1042.65,1048.90,128546,8491,81341,63.28
26-May-2017,1042.65,1037.50,1061.00,1037.50,1055.00,1054.25,1047.59,201438,6679,164974,81.90
29-May-2017,1054.25,1051.00,1082.00,1050.00,1065.25,1067.65,1066.04,120126,7891,45210,37.64
30-May-2017,1067.65,1064.50,1074.95,1054.00,1064.00,1064.95,1064.29,59791,3755,29189,48.82
31-May-2017,1064.95,1065.00,1100.00,1064.95,1094.30,1093.40,1087.58,313440,17603,199007,63.49
01-Jun-2017,1093.40,1095.25,1105.25,1081.25,1087.15,1090.10,1092.04,115399,6789,52737,45.70
02-Jun-2017,1090.10,1090.00,1114.00,1085.00,1108.85,1107.15,1106.45,210917,13877,94093,44.61
05-Jun-2017,1107.15,1109.50,1135.00,1108.00,1130.50,1131.55,1126.50,191065,10632,99440,52.05
06-Jun-2017,1131.55,1130.00,1134.85,1101.65,1104.50,1104.35,1113.93,68458,4102,30458,44.49
07-Jun-2017,1104.35,1107.00,1115.00,1095.00,1100.00,1101.45,1105.62,53691,2880,24359,45.37
08-Jun-2017,1101.45,1104.85,1109.00,1086.35,1091.00,1092.00,1095.86,57512,3675,25993,45.20
09-Jun-2017,1092.00,1092.00,1132.00,1082.00,1119.00,1118.70,1112.93,292017,11457,83165,28.48
12-Jun-2017,1118.70,1117.95,1134.30,1101.00,1106.95,1110.40,1120.12,103959,4982,48892,47.03
13-Jun-2017,1110.40,1110.00,1124.90,1095.00,1099.55,1098.40,1107.34,67751,3766,36540,53.93
14-Jun-2017,1098.40,1108.40,1115.00,1090.50,1093.00,1094.30,1101.99,59026,3503,26791,45.39
15-Jun-2017,1094.30,1091.10,1104.40,1081.10,1081.90,1083.15,1089.96,69348,6555,38516,55.54
16-Jun-2017,1083.15,1088.00,1091.50,1071.00,1076.80,1075.40,1081.71,73783,8289,44881,60.83
19-Jun-2017,1075.40,1080.10,1117.90,1080.10,1110.00,1110.00,1104.93,174910,7981,64492,36.87
20-Jun-2017,1110.00,1114.70,1119.20,1099.00,1101.10,1101.35,1108.99,68733,3739,26114,37.99
21-Jun-2017,1101.35,1105.25,1112.90,1101.00,1104.00,1104.15,1105.76,51825,3151,23810,45.94
22-Jun-2017,1104.15,1115.70,1118.00,1089.20,1090.00,1091.05,1105.45,106100,5124,33595,31.66
23-Jun-2017,1091.05,1095.30,1096.85,1061.05,1062.00,1065.00,1074.62,75861,4948,45097,59.45
27-Jun-2017,1065.00,1060.00,1065.00,1045.00,1048.00,1048.30,1053.10,52110,3143,25727,49.37
28-Jun-2017,1048.30,1048.00,1080.50,1040.00,1074.00,1074.05,1061.26,73849,3564,28556,38.67
29-Jun-2017,1074.05,1084.05,1104.25,1080.50,1102.10,1098.70,1092.54,102794,6394,47077,45.80
30-Jun-2017,1098.70,1104.00,1110.00,1071.00,1073.90,1073.55,1094.06,283014,15366,93327,32.98
03-Jul-2017,1073.55,1074.90,1079.80,1064.05,1073.20,1072.95,1074.10,57394,3753,26352,45.91
04-Jul-2017,1072.95,1075.00,1078.35,1063.15,1065.00,1066.50,1070.48,33946,3642,18420,54.26
05-Jul-2017,1066.50,1068.00,1069.95,1054.50,1063.00,1063.60,1061.74,57104,3529,28143,49.28
06-Jul-2017,1063.60,1063.60,1075.00,1057.70,1060.00,1060.55,1066.65,53534,2840,24018,44.86
07-Jul-2017,1060.55,1059.00,1128.00,1052.05,1064.70,1066.90,1089.69,663361,25828,195029,29.40
10-Jul-2017,1066.90,1161.05,1161.05,1063.90,1081.35,1085.10,1090.46,102668,3898,39889,38.85
11-Jul-2017,1085.10,1097.00,1124.70,1088.10,1098.00,1097.05,1104.03,385112,22603,137063,35.59
12-Jul-2017,1097.05,1111.05,1117.00,1086.65,1103.00,1100.95,1101.87,232424,8194,105155,45.24
13-Jul-2017,1100.95,1105.10,1132.05,1095.10,1114.00,1111.90,1118.89,698518,24947,183248,26.23
