DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1382.05,1423.00,1430.00,1390.10,1405.00,1405.00,1415.42,197273,5422,159140,80.67
03-Aug-2016,1405.00,1404.95,1405.00,1350.50,1394.95,1388.80,1372.64,45146,2422,25561,56.62
04-Aug-2016,1388.80,1393.00,1393.00,1360.05,1370.10,1376.45,1374.84,22804,1392,11555,50.67
05-Aug-2016,1376.45,1376.00,1430.00,1376.00,1417.90,1421.45,1409.72,35706,2395,17067,47.80
08-Aug-2016,1421.45,1422.00,1442.90,1420.00,1428.00,1435.05,1434.40,34700,1617,21932,63.20
09-Aug-2016,1435.05,1437.85,1442.35,1400.50,1440.00,1437.90,1429.37,28004,1900,15215,54.33
10-Aug-2016,1437.90,1439.95,1440.00,1390.00,1392.00,1396.00,1403.60,22966,1951,15094,65.72
11-Aug-2016,1396.00,1395.90,1425.60,1382.00,1401.00,1403.20,1392.98,16301,1603,8600,52.76
12-Aug-2016,1403.20,1403.00,1449.00,1403.00,1419.90,1423.65,1434.46,48757,2372,28384,58.22
16-Aug-2016,1423.65,1423.65,1440.00,1423.65,1440.00,1439.20,1436.92,21390,1165,15224,71.17
17-Aug-2016,1439.20,1439.95,1441.60,1415.05,1427.00,1434.65,1436.21,37982,1335,29246,77.00
18-Aug-2016,1434.65,1434.05,1445.00,1425.00,1429.50,1437.25,1436.64,19583,1002,11907,60.80
19-Aug-2016,1437.25,1434.70,1438.95,1418.00,1422.95,1423.90,1428.56,19620,1327,10805,55.07
22-Aug-2016,1423.90,1423.00,1445.60,1405.10,1443.55,1432.95,1422.00,18024,965,11751,65.20
23-Aug-2016,1432.95,1438.95,1499.60,1422.00,1433.00,1440.35,1457.72,76991,3810,32401,42.08
24-Aug-2016,1440.35,1442.00,1490.00,1442.00,1464.00,1464.75,1467.47,74734,4266,40948,54.79
25-Aug-2016,1464.75,1474.95,1499.00,1465.60,1490.00,1485.50,1485.35,37410,2404,17438,46.61
26-Aug-2016,1485.50,1477.00,1509.00,1466.05,1478.00,1476.25,1488.87,54642,3037,25993,47.57
29-Aug-2016,1476.25,1480.00,1499.50,1462.00,1496.50,1496.85,1481.56,25445,2277,12838,50.45
30-Aug-2016,1496.85,1505.00,1505.00,1480.00,1492.05,1496.85,1496.52,32872,1680,22794,69.34
31-Aug-2016,1496.85,1499.65,1501.00,1487.00,1496.00,1491.35,1497.12,26159,1572,18867,72.12
01-Sep-2016,1491.35,1504.95,1516.00,1498.00,1509.00,1508.80,1507.39,40705,2409,24582,60.39
02-Sep-2016,1508.80,1519.75,1545.00,1510.00,1543.00,1536.25,1530.65,49425,2872,20740,41.96
06-Sep-2016,1536.25,1540.00,1788.00,1532.80,1662.10,1664.60,1685.91,262921,20195,92941,35.35
07-Sep-2016,1664.60,1678.00,1682.30,1615.05,1649.40,1646.95,1641.43,95306,5592,47865,50.22
08-Sep-2016,1646.95,1658.00,1700.00,1646.00,1675.00,1666.65,1675.46,79046,5301,30073,38.04
09-Sep-2016,1666.65,1673.00,1697.00,1645.00,1658.00,1658.15,1669.75,36108,3222,19420,53.78
12-Sep-2016,1658.15,1612.25,1675.00,1591.70,1656.55,1659.25,1631.69,34680,3580,14248,41.08
14-Sep-2016,1659.25,1660.00,1669.90,1635.00,1658.30,1660.75,1658.58,29136,1836,17798,61.09
15-Sep-2016,1660.75,1689.00,1689.00,1651.05,1658.00,1658.85,1662.61,31389,3307,18184,57.93
16-Sep-2016,1658.85,1658.00,1700.00,1658.00,1668.00,1670.25,1687.96,53720,3260,25073,46.67
19-Sep-2016,1670.25,1684.80,1700.00,1637.10,1649.00,1651.10,1669.34,41093,3330,27961,68.04
20-Sep-2016,1651.10,1653.10,1674.00,1625.00,1628.75,1632.60,1640.44,41787,2969,29088,69.61
21-Sep-2016,1632.60,1633.85,1652.00,1628.05,1640.00,1639.25,1635.68,27382,1227,19349,70.66
22-Sep-2016,1639.25,1650.00,1680.00,1647.10,1658.00,1660.70,1662.37,42362,1725,28924,68.28
23-Sep-2016,1660.70,1660.00,1677.00,1654.00,1669.90,1665.70,1668.11,32410,1116,22192,68.47
26-Sep-2016,1665.70,1665.00,1665.00,1625.30,1650.00,1649.10,1645.98,21230,1727,14299,67.35
27-Sep-2016,1649.10,1649.00,1650.00,1622.00,1634.95,1641.60,1636.01,23517,1688,15048,63.99
28-Sep-2016,1641.60,1639.00,1651.00,1631.60,1650.00,1648.20,1647.11,20115,1052,12361,61.45
29-Sep-2016,1648.20,1650.55,1697.90,1600.00,1649.00,1629.50,1643.71,53883,4015,30074,55.81
30-Sep-2016,1629.50,1612.15,1655.40,1600.00,1636.85,1625.20,1625.83,51347,2960,36193,70.49
03-Oct-2016,1625.20,1650.00,1696.00,1640.05,1696.00,1682.25,1668.03,43510,3190,28600,65.73
04-Oct-2016,1682.25,1703.00,1734.95,1694.00,1731.00,1725.15,1721.98,74952,4913,42643,56.89
05-Oct-2016,1725.15,1735.00,1755.00,1708.05,1715.05,1725.85,1728.43,36867,2890,17565,47.64
06-Oct-2016,1725.85,1725.05,1749.95,1710.00,1740.00,1734.70,1733.06,22311,2311,11491,51.50
07-Oct-2016,1734.70,1753.85,1753.85,1725.00,1740.00,1743.90,1738.76,17074,1538,9794,57.36
10-Oct-2016,1743.90,1750.50,1760.00,1730.00,1744.00,1752.40,1746.23,19751,1599,10186,51.57
13-Oct-2016,1752.40,1748.90,1770.00,1705.00,1758.95,1749.55,1733.12,21305,1969,12257,57.53
14-Oct-2016,1749.55,1760.00,1863.70,1743.00,1827.00,1829.55,1818.65,100739,7594,38024,37.75
17-Oct-2016,1829.55,1839.90,1878.00,1830.00,1848.00,1845.65,1857.64,84105,4934,41236,49.03
18-Oct-2016,1845.65,1850.00,1889.85,1764.00,1835.70,1831.55,1849.93,440947,21970,90558,20.54
19-Oct-2016,1831.55,1848.90,1850.70,1805.55,1813.45,1824.75,1831.61,104264,8016,49280,47.26
20-Oct-2016,1824.75,1837.95,1843.90,1815.00,1835.00,1838.35,1830.55,52689,3175,29492,55.97
21-Oct-2016,1838.35,1837.90,1837.90,1811.05,1835.00,1829.90,1824.18,25866,2148,12959,50.10
24-Oct-2016,1829.90,1831.00,1850.00,1815.00,1850.00,1847.55,1832.84,41369,3195,22139,53.52
25-Oct-2016,1847.55,1847.85,1850.00,1826.10,1831.00,1846.40,1840.89,32589,2265,20558,63.08
26-Oct-2016,1846.40,1843.00,1843.00,1815.00,1817.00,1823.25,1825.88,37831,1981,26170,69.18
27-Oct-2016,1823.25,1820.00,1835.00,1774.05,1790.00,1797.15,1800.58,44386,3031,30691,69.15
28-Oct-2016,1797.15,1800.00,1837.00,1787.20,1832.85,1828.95,1822.77,41460,4296,21413,51.65
30-Oct-2016,1828.95,1840.00,1870.00,1835.00,1870.00,1864.25,1860.05,21383,1427,15080,70.52
01-Nov-2016,1864.25,1870.00,1871.00,1849.40,1853.00,1862.10,1860.05,43010,1843,34080,79.24
02-Nov-2016,1862.10,1844.90,1852.90,1827.00,1830.00,1836.50,1840.86,23637,1756,15564,65.85
03-Nov-2016,1836.50,1834.90,1860.00,1800.00,1810.00,1813.85,1831.52,36951,3303,23157,62.67
04-Nov-2016,1813.85,1819.90,1820.00,1712.15,1734.00,1737.00,1755.49,44416,3857,26229,59.05
07-Nov-2016,1737.00,1782.95,1782.95,1706.00,1720.00,1723.90,1728.65,46874,5098,30290,64.62
08-Nov-2016,1723.90,1730.05,1742.00,1696.00,1712.20,1711.10,1722.92,35277,2547,22378,63.44
09-Nov-2016,1711.10,1600.00,1699.90,1411.25,1685.00,1676.10,1643.65,70942,5464,37956,53.50
10-Nov-2016,1676.10,1718.50,1725.00,1674.60,1705.05,1699.05,1699.36,36103,3002,18331,50.77
11-Nov-2016,1699.05,1675.00,1694.95,1525.00,1569.00,1574.85,1575.44,98332,8259,53913,54.83
15-Nov-2016,1574.85,1536.00,1536.00,1259.90,1259.90,1259.90,1298.05,348473,9375,197840,56.77
16-Nov-2016,1259.90,1261.00,1460.05,1260.00,1376.10,1388.45,1384.95,709076,31319,304419,42.93
17-Nov-2016,1388.45,1388.00,1460.00,1342.60,1395.30,1371.60,1392.62,129526,9904,45766,35.33
18-Nov-2016,1371.60,1375.90,1539.00,1370.00,1530.00,1503.70,1455.50,175085,12775,55130,31.49
21-Nov-2016,1503.70,1500.00,1587.75,1473.00,1530.00,1523.25,1507.56,235153,14729,88984,37.84
22-Nov-2016,1523.25,1519.40,1569.90,1476.60,1544.95,1532.45,1519.43,126667,7330,44230,34.92
23-Nov-2016,1532.45,1549.00,1560.00,1479.25,1510.00,1517.70,1509.99,80759,7704,25104,31.09
24-Nov-2016,1517.70,1499.00,1535.00,1470.45,1507.00,1510.70,1509.12,73458,4414,29709,40.44
25-Nov-2016,1510.70,1514.20,1535.00,1514.20,1515.00,1525.10,1527.34,32755,2128,13506,41.23
28-Nov-2016,1525.10,1526.75,1539.85,1512.05,1534.45,1527.65,1530.33,26139,1988,11296,43.22
29-Nov-2016,1527.65,1528.00,1745.00,1528.00,1659.95,1658.70,1672.53,325438,24553,57083,17.54
30-Nov-2016,1658.70,1679.00,1729.00,1651.60,1708.70,1692.75,1694.73,115886,7515,21990,18.98
01-Dec-2016,1692.75,1710.00,1716.05,1625.00,1678.00,1693.80,1690.94,46582,3797,16518,35.46
02-Dec-2016,1693.80,1670.00,1691.95,1627.90,1632.90,1634.75,1653.47,35786,4027,16915,47.27
05-Dec-2016,1634.75,1659.95,1659.95,1621.20,1639.00,1642.55,1638.13,21434,2446,8920,41.62
06-Dec-2016,1642.55,1669.00,1719.80,1655.65,1688.00,1669.90,1686.80,74411,6983,20562,27.63
07-Dec-2016,1669.90,1688.10,1699.00,1649.00,1674.80,1665.35,1674.96,33188,3613,13708,41.30
08-Dec-2016,1665.35,1671.00,1694.95,1669.95,1683.00,1684.70,1683.57,17982,2453,8750,48.66
09-Dec-2016,1684.70,1686.50,1699.90,1675.00,1685.20,1693.85,1688.74,16125,1599,8607,53.38
12-Dec-2016,1693.85,1672.05,1695.00,1636.00,1640.00,1644.95,1664.39,13857,1639,7548,54.47
13-Dec-2016,1644.95,1641.00,1644.90,1604.05,1607.00,1611.90,1618.63,12717,1762,7719,60.70
14-Dec-2016,1611.90,1595.00,1630.05,1580.00,1581.00,1591.95,1601.77,14043,1529,8523,60.69
15-Dec-2016,1591.95,1579.95,1674.80,1550.05,1655.60,1652.30,1635.99,62954,5426,22337,35.48
16-Dec-2016,1652.30,1662.00,1698.00,1641.10,1690.00,1690.60,1679.94,59038,5463,17864,30.26
19-Dec-2016,1690.60,1697.00,1718.00,1652.00,1680.20,1697.85,1696.07,46939,4215,24174,51.50
20-Dec-2016,1697.85,1685.00,1709.90,1660.00,1663.90,1672.15,1685.11,39437,3179,22296,56.54
21-Dec-2016,1672.15,1695.00,1695.00,1635.00,1639.00,1644.10,1660.92,13541,2090,5384,39.76
22-Dec-2016,1644.10,1650.05,1650.05,1572.25,1609.00,1621.05,1607.87,29175,3396,10251,35.14
23-Dec-2016,1621.05,1604.65,1634.95,1570.00,1601.00,1589.60,1595.73,26664,3168,12432,46.62
