DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,340.70,342.00,358.65,341.55,346.85,346.20,347.92,5466625,49857,2712942,49.63
03-Aug-2016,346.20,347.00,348.75,327.30,330.35,329.40,336.63,3145732,38386,1595700,50.73
04-Aug-2016,329.40,337.40,352.40,334.40,351.95,348.40,343.79,5830375,53168,2972567,50.98
05-Aug-2016,348.40,353.80,353.90,345.90,350.10,351.00,349.60,4492350,44366,2612705,58.16
08-Aug-2016,351.00,353.35,353.35,347.85,350.00,350.40,350.48,2303094,33786,1358037,58.97
09-Aug-2016,350.40,351.65,354.45,345.80,352.70,352.50,350.37,3902391,39162,2446929,62.70
10-Aug-2016,352.50,354.90,354.90,315.10,331.00,329.65,332.46,14228890,137624,2583716,18.16
11-Aug-2016,329.65,325.80,326.80,310.05,317.00,316.70,316.41,6047310,90912,2587932,42.79
12-Aug-2016,316.70,316.90,323.60,310.35,319.75,319.40,318.64,2887264,36889,888231,30.76
16-Aug-2016,319.40,319.50,323.60,317.55,321.05,321.30,320.95,1942348,34610,702079,36.15
17-Aug-2016,321.30,322.90,335.90,321.25,334.50,334.45,328.83,2622664,49569,749245,28.57
18-Aug-2016,334.45,337.00,341.40,333.00,334.40,334.85,336.30,2826134,48714,1188852,42.07
19-Aug-2016,334.85,335.10,337.60,329.25,330.60,331.35,333.71,1763367,31006,695452,39.44
22-Aug-2016,331.35,331.50,335.85,322.55,326.20,326.80,329.98,2257971,31539,506660,22.44
23-Aug-2016,326.80,322.60,329.50,321.70,325.35,326.60,326.10,1477420,18632,194504,13.17
24-Aug-2016,326.60,327.70,327.90,322.20,326.25,325.05,324.36,1277470,15430,456210,35.71
25-Aug-2016,325.05,327.00,327.75,318.25,323.55,324.00,322.93,2162741,25509,1106481,51.16
26-Aug-2016,324.00,326.15,331.00,321.00,321.80,322.05,325.16,2558805,34799,1094066,42.76
29-Aug-2016,322.05,321.80,326.25,320.25,324.20,325.10,324.32,1311091,15517,471988,36.00
30-Aug-2016,325.10,326.00,328.30,322.40,325.75,325.75,325.37,1257777,23428,375356,29.84
31-Aug-2016,325.75,326.20,329.90,321.25,321.55,322.55,324.64,1678505,27491,840959,50.10
01-Sep-2016,322.55,324.30,326.50,318.60,320.05,320.25,322.71,941725,11218,375649,39.89
02-Sep-2016,320.25,322.20,324.25,319.30,321.50,320.65,321.62,1110451,14889,475338,42.81
06-Sep-2016,320.65,322.00,325.50,321.05,324.35,323.80,323.53,1483997,30050,767098,51.69
07-Sep-2016,323.80,326.00,337.50,322.00,336.40,336.35,330.95,3594147,42457,1080319,30.06
08-Sep-2016,336.35,340.90,341.95,325.80,326.00,327.95,334.87,4778884,57267,1551341,32.46
09-Sep-2016,327.95,325.00,339.15,324.10,330.00,329.85,332.53,4875875,52952,1762340,36.14
12-Sep-2016,329.85,325.85,325.85,308.25,314.00,312.45,316.33,5051450,49954,2594163,51.35
14-Sep-2016,312.45,315.20,320.15,313.00,315.40,316.00,316.54,2927136,32991,1208935,41.30
15-Sep-2016,316.00,316.85,317.40,311.00,312.20,312.05,313.24,1077330,14185,304513,28.27
16-Sep-2016,312.05,314.80,324.30,313.65,319.25,318.70,319.55,2153913,24802,712346,33.07
19-Sep-2016,318.70,320.70,324.35,318.50,320.05,319.90,320.67,1181305,14688,373077,31.58
20-Sep-2016,319.90,321.00,324.75,316.65,324.00,322.85,320.37,1633715,27562,635812,38.92
21-Sep-2016,322.85,324.00,325.50,320.50,321.00,322.25,323.44,1776553,24327,961507,54.12
22-Sep-2016,322.25,325.10,327.70,321.25,323.60,323.75,323.87,1415350,29395,549843,38.85
23-Sep-2016,323.75,325.00,327.00,318.05,319.45,319.15,323.14,1284882,27320,429283,33.41
26-Sep-2016,319.15,318.80,319.50,314.10,316.00,315.75,316.88,986888,11085,252721,25.61
27-Sep-2016,315.75,316.50,319.75,312.90,313.80,314.05,316.15,1456079,27295,837793,57.54
28-Sep-2016,314.05,318.00,318.25,314.30,316.00,316.20,316.49,1837574,35673,1135976,61.82
29-Sep-2016,316.20,316.75,318.30,285.25,305.95,306.50,307.18,8049447,52696,4216190,52.38
30-Sep-2016,306.50,306.00,319.50,305.55,318.60,318.00,315.28,3372930,51622,1867267,55.36
03-Oct-2016,318.00,320.00,334.25,320.00,327.80,329.35,329.43,9548103,91450,7125142,74.62
04-Oct-2016,329.35,328.00,330.00,324.50,329.60,328.40,326.85,2185372,45727,1175781,53.80
05-Oct-2016,328.40,333.65,335.40,328.50,332.55,333.35,332.18,3092150,49879,1591419,51.47
06-Oct-2016,333.35,335.90,338.00,328.15,332.45,332.10,333.77,2055598,30578,830361,40.40
07-Oct-2016,332.10,333.00,333.30,328.00,328.95,329.10,329.59,1132982,23259,625054,55.17
10-Oct-2016,329.10,330.00,333.50,329.60,331.00,331.45,331.20,1158976,23218,489915,42.27
13-Oct-2016,331.45,332.00,332.00,316.00,321.35,321.70,323.20,2281458,50453,1229041,53.87
14-Oct-2016,321.70,321.50,332.10,320.05,331.75,330.45,327.49,1932325,47563,976537,50.54
17-Oct-2016,330.45,328.35,331.85,319.95,322.80,321.50,323.93,1391585,26619,514538,36.97
18-Oct-2016,321.50,323.50,332.20,322.10,331.20,331.40,327.92,2785741,37407,1482523,53.22
19-Oct-2016,331.40,332.00,336.95,327.65,331.25,332.55,332.99,1983561,31832,745285,37.57
20-Oct-2016,332.55,334.70,334.70,328.55,330.45,330.25,331.58,1021060,28617,504941,49.45
21-Oct-2016,330.25,330.60,335.20,325.65,333.50,334.15,332.69,1791563,33587,1073265,59.91
24-Oct-2016,334.15,335.00,336.40,330.35,331.50,332.45,333.42,1068777,39380,445842,41.72
25-Oct-2016,332.45,331.50,334.50,326.85,331.30,330.10,329.35,1031561,16125,453794,43.99
26-Oct-2016,330.10,329.00,332.95,321.60,329.15,329.75,328.41,2156118,28744,1248278,57.89
27-Oct-2016,329.75,330.70,330.70,323.35,328.25,327.95,327.48,1981589,30812,973567,49.13
28-Oct-2016,327.95,328.00,333.95,328.00,331.15,331.20,331.40,1196414,19102,555579,46.44
30-Oct-2016,331.20,332.00,334.45,330.10,331.20,331.75,331.94,66805,1067,24935,37.33
01-Nov-2016,331.75,330.00,331.35,326.05,328.50,328.75,328.23,1399149,26001,813672,58.15
02-Nov-2016,328.75,324.75,326.80,318.40,322.50,322.85,322.37,1054579,29673,257260,24.39
03-Nov-2016,322.85,321.50,325.45,311.00,313.75,314.05,318.70,990686,37303,411621,41.55
04-Nov-2016,314.05,313.95,313.95,299.70,301.00,301.90,305.45,2626860,32568,1471772,56.03
07-Nov-2016,301.90,305.90,320.80,305.00,314.50,315.65,315.59,2455382,61501,1094910,44.59
08-Nov-2016,315.65,316.50,319.45,306.80,311.50,311.85,311.95,1203594,20470,418534,34.77
09-Nov-2016,311.85,304.00,313.20,281.00,308.85,308.35,297.43,3504624,53126,1326610,37.85
10-Nov-2016,308.35,315.90,335.50,309.10,326.50,326.20,327.16,7675774,77963,1774991,23.12
11-Nov-2016,326.20,320.00,321.80,300.05,304.00,301.50,308.20,3227533,56947,1168175,36.19
15-Nov-2016,301.50,301.50,305.25,278.35,283.40,285.90,288.78,3434435,65957,1383560,40.28
16-Nov-2016,285.90,295.00,304.20,281.55,290.00,294.45,295.04,4183517,55573,1561653,37.33
17-Nov-2016,294.45,295.10,298.75,288.20,297.30,296.65,294.55,2328320,52481,1068449,45.89
18-Nov-2016,296.65,297.70,300.70,289.40,289.90,290.45,294.06,1580615,34786,703732,44.52
21-Nov-2016,290.45,290.60,293.35,278.70,279.20,280.25,283.55,2230676,48536,993696,44.55
22-Nov-2016,280.25,283.10,289.95,280.00,285.10,285.10,284.95,3498964,54089,1388925,39.70
23-Nov-2016,285.10,289.00,298.50,285.00,296.00,296.70,293.07,2289569,43973,1277072,55.78
24-Nov-2016,296.70,294.85,300.00,290.30,295.55,296.15,295.24,1882233,22217,616359,32.75
25-Nov-2016,296.15,295.00,303.45,294.45,300.55,302.15,299.37,1831452,30999,1050045,57.33
28-Nov-2016,302.15,301.90,305.50,297.15,301.60,301.65,300.73,1697500,22996,879728,51.82
29-Nov-2016,301.65,301.65,310.35,300.15,304.05,303.40,305.09,2434780,52022,1083044,44.48
30-Nov-2016,303.40,305.40,311.80,304.50,309.60,309.80,308.46,2385505,52567,1272362,53.34
01-Dec-2016,309.80,314.10,314.90,309.00,309.75,311.30,312.70,1738365,32911,622667,35.82
02-Dec-2016,311.30,309.30,313.75,304.35,305.50,306.15,310.13,2498545,31929,1105150,44.23
05-Dec-2016,306.15,304.80,315.35,304.50,314.90,313.20,309.08,2716960,44348,948191,34.90
06-Dec-2016,313.20,311.20,317.15,310.00,311.50,311.25,313.48,1268924,26555,533281,42.03
07-Dec-2016,311.25,312.90,316.70,311.00,314.60,313.10,314.32,1097968,17433,458421,41.75
08-Dec-2016,313.10,315.00,331.60,315.00,330.80,330.00,324.57,2872867,39109,1291804,44.97
09-Dec-2016,330.00,329.50,329.80,318.70,321.60,321.60,325.15,4227116,51797,1875206,44.36
12-Dec-2016,321.60,322.70,326.00,318.20,322.00,321.25,322.92,1030247,32194,421648,40.93
13-Dec-2016,321.25,320.55,330.75,320.45,325.95,326.05,327.49,2400728,47311,1272315,53.00
14-Dec-2016,326.05,326.95,328.25,319.00,320.00,319.95,321.96,1652658,33156,956386,57.87
15-Dec-2016,319.95,315.95,324.40,315.55,320.60,321.20,321.43,1493263,33636,874450,58.56
16-Dec-2016,321.20,321.65,327.45,321.05,323.00,323.25,323.74,4204051,64241,3212788,76.42
19-Dec-2016,323.25,324.25,326.20,319.00,319.40,320.35,322.19,1247769,33665,751799,60.25
20-Dec-2016,320.35,318.60,322.90,318.00,318.90,318.95,320.13,1345118,17538,600220,44.62
21-Dec-2016,318.95,319.70,324.90,317.00,323.25,322.50,321.37,1450350,37941,1002854,69.15
22-Dec-2016,322.50,322.95,324.40,318.00,319.25,319.10,320.19,1633939,53362,814944,49.88
23-Dec-2016,319.10,319.00,319.50,307.10,307.85,309.10,313.12,1782683,39298,923151,51.78
26-Dec-2016,309.10,307.95,310.00,302.40,308.40,307.15,306.27,1284467,21295,527603,41.08
27-Dec-2016,307.15,310.00,311.80,304.50,311.75,310.25,308.53,1028118,12972,312041,30.35
28-Dec-2016,310.25,311.80,316.70,311.50,314.00,314.70,314.49,1571056,26576,709330,45.15
29-Dec-2016,314.70,312.70,329.90,312.65,328.70,327.00,322.22,2844209,40215,1651419,58.06
30-Dec-2016,327.00,328.95,329.70,324.50,325.20,326.45,326.60,1419743,20504,678371,47.78
02-Jan-2017,326.45,326.90,333.55,324.75,327.75,327.85,329.59,1374012,14046,604878,44.02
03-Jan-2017,327.85,327.25,330.00,321.65,324.00,323.45,325.45,1058966,21302,537252,50.73
04-Jan-2017,323.45,323.95,325.50,319.00,321.10,320.90,322.38,1922659,23909,1099475,57.19
05-Jan-2017,320.90,322.50,329.20,322.50,328.85,328.55,327.43,2158076,32863,1385698,64.21
06-Jan-2017,328.55,330.00,337.50,330.00,332.25,331.65,333.76,2828724,22693,1487391,52.58
09-Jan-2017,331.65,335.70,335.70,328.50,329.50,329.25,331.66,1342984,20098,704475,52.46
10-Jan-2017,329.25,329.35,332.55,324.70,327.00,328.05,327.82,2148226,39660,1387707,64.60
11-Jan-2017,328.05,328.45,331.60,325.60,329.75,330.20,327.80,3368155,26172,1636262,48.58
12-Jan-2017,330.20,331.00,333.45,327.15,329.85,329.75,329.48,1140494,19816,549380,48.17
13-Jan-2017,329.75,332.90,332.90,325.00,325.55,326.65,327.13,1104637,12432,404125,36.58
16-Jan-2017,326.65,326.50,330.75,324.60,328.60,328.70,329.19,989907,14784,386324,39.03
17-Jan-2017,328.70,329.15,333.20,324.70,325.25,326.35,327.68,8925758,26122,852912,9.56
18-Jan-2017,326.35,326.00,331.50,325.45,330.95,330.85,328.40,1345795,15019,603993,44.88
19-Jan-2017,330.85,331.00,332.15,324.10,325.00,325.65,326.45,2278045,26089,1609941,70.67
20-Jan-2017,325.65,323.50,338.50,321.00,325.00,326.35,331.77,7717771,77637,1958145,25.37
23-Jan-2017,326.35,329.00,329.00,321.00,323.60,323.65,324.20,2958185,43050,1323833,44.75
24-Jan-2017,323.65,324.10,331.65,323.65,330.90,330.85,327.63,1933229,35125,914363,47.30
25-Jan-2017,330.85,331.65,334.35,329.35,331.00,331.50,331.67,2805879,23700,1320199,47.05
27-Jan-2017,331.50,331.80,345.50,330.25,343.75,344.35,340.34,4007977,48245,1566924,39.10
30-Jan-2017,344.35,343.90,348.90,340.50,343.00,343.55,345.08,2795109,45976,1420710,50.83
31-Jan-2017,343.55,341.55,343.95,330.25,331.80,331.85,336.81,2042842,36290,975921,47.77
01-Feb-2017,331.85,333.00,337.80,325.40,335.85,336.60,332.16,2057602,32874,862278,41.91
02-Feb-2017,336.60,337.00,343.60,332.65,334.05,334.90,338.62,3145814,42451,2004224,63.71
03-Feb-2017,334.90,334.90,341.20,333.55,339.40,340.15,338.24,2706859,29753,1668136,61.63
06-Feb-2017,340.15,343.95,343.95,336.15,338.70,339.30,338.42,1639349,19921,853347,52.05
07-Feb-2017,339.30,342.00,342.00,334.05,337.80,338.05,337.89,2611607,57405,1806885,69.19
08-Feb-2017,338.05,338.85,346.65,338.55,342.95,343.60,343.04,2599185,27197,1533261,58.99
09-Feb-2017,343.60,344.95,350.00,341.75,349.55,348.85,346.21,2023455,26576,1023973,50.61
10-Feb-2017,348.85,351.00,359.40,350.25,354.75,355.90,355.51,3637304,53505,1765225,48.53
13-Feb-2017,355.90,358.75,358.75,340.20,350.00,350.95,350.85,7476527,79906,1320380,17.66
14-Feb-2017,350.95,352.50,356.30,347.90,353.30,353.20,353.60,2482112,42219,881544,35.52
