DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
10-Aug-2017,815.00,879.80,879.80,748.80,765.00,757.05,833.93,8025978,169638,2006120,25.00
11-Aug-2017,757.05,745.00,793.95,705.10,768.00,769.85,751.28,1013924,33484,161670,15.94
14-Aug-2017,769.85,799.00,814.00,780.00,798.70,802.85,800.38,492782,16745,118806,24.11
16-Aug-2017,802.85,792.50,816.00,790.00,813.50,812.55,806.99,285820,9837,83276,29.14
17-Aug-2017,812.55,813.90,829.00,812.00,819.90,815.05,818.47,227731,7013,62804,27.58
18-Aug-2017,815.05,812.95,812.95,780.25,787.05,791.50,795.36,82421,2962,29719,36.06
21-Aug-2017,791.50,788.05,794.05,765.10,770.00,774.85,781.01,58365,2464,29323,50.24
22-Aug-2017,774.85,774.00,791.95,760.00,764.00,764.85,771.79,66656,3294,18989,28.49
23-Aug-2017,764.85,765.00,785.00,765.00,773.00,777.35,775.82,64421,2292,19813,30.76
24-Aug-2017,777.35,775.90,782.00,763.10,767.00,767.25,771.07,34809,2481,8219,23.61
28-Aug-2017,767.25,769.90,780.00,768.05,773.00,773.05,773.67,27944,2263,12281,43.95
29-Aug-2017,773.05,771.50,779.00,752.60,757.30,755.60,765.20,24820,1892,9589,38.63
30-Aug-2017,755.60,764.80,784.00,762.05,775.50,778.70,773.87,28911,1746,14757,51.04
31-Aug-2017,778.70,778.70,787.90,771.05,776.00,775.55,778.12,24726,1273,8956,36.22
01-Sep-2017,775.55,771.25,785.00,771.25,780.00,780.30,778.44,51957,1932,20842,40.11
04-Sep-2017,780.30,775.00,790.00,774.10,784.00,780.50,780.29,46848,1871,12897,27.53
05-Sep-2017,780.50,784.80,786.85,768.00,773.00,771.50,779.76,34761,1277,7521,21.64
06-Sep-2017,771.50,771.80,784.00,771.00,773.00,776.10,773.38,93680,1358,78540,83.84
07-Sep-2017,776.10,776.10,781.95,772.60,775.00,776.85,778.40,26657,1116,19806,74.30
08-Sep-2017,776.85,775.00,795.45,774.00,784.00,788.15,788.75,91156,4278,63182,69.31
11-Sep-2017,788.15,782.00,817.70,782.00,795.00,799.70,802.88,98123,5221,23522,23.97
12-Sep-2017,799.70,795.00,805.05,780.10,780.10,783.35,790.76,19084,1048,12567,65.85
13-Sep-2017,783.35,786.60,788.15,774.00,780.60,779.85,779.87,17748,919,11458,64.56
14-Sep-2017,779.85,787.70,787.70,765.55,770.00,770.30,771.92,16209,840,11841,73.05
15-Sep-2017,770.30,766.05,785.00,766.05,785.00,780.65,777.51,17627,2320,9619,54.57
18-Sep-2017,780.65,775.15,793.45,771.00,793.00,791.50,789.84,31185,2102,25959,83.24
19-Sep-2017,791.50,782.05,790.00,777.80,781.00,779.25,786.21,52117,1021,47584,91.30
20-Sep-2017,779.25,780.00,780.10,766.50,766.50,770.65,773.26,10854,841,7410,68.27
21-Sep-2017,770.65,768.00,780.00,768.00,776.50,775.05,773.59,33585,890,28662,85.34
22-Sep-2017,775.05,770.50,775.00,765.00,770.00,768.00,770.16,12248,994,8916,72.80
25-Sep-2017,768.00,766.00,778.45,753.10,774.90,769.45,766.00,29926,1788,23442,78.33
26-Sep-2017,769.45,771.85,780.00,759.50,760.85,764.10,766.58,7917,906,5483,69.26
27-Sep-2017,764.10,764.15,782.40,764.15,776.05,778.95,774.98,50122,1916,39531,78.87
28-Sep-2017,778.95,776.05,800.00,770.30,800.00,795.15,788.92,21196,1291,15100,71.24
29-Sep-2017,795.15,787.05,803.15,787.05,790.00,799.60,799.02,37192,2085,31518,84.74
03-Oct-2017,799.60,791.00,803.45,775.00,775.00,779.55,788.37,9376,607,5568,59.39
04-Oct-2017,779.55,780.20,780.20,775.00,775.00,775.10,776.38,5999,851,3774,62.91
05-Oct-2017,775.10,775.00,780.00,772.10,774.25,774.85,774.89,13638,681,11233,82.37
06-Oct-2017,774.85,775.00,784.90,764.00,764.00,769.00,775.92,53174,1687,47935,90.15
09-Oct-2017,769.00,766.25,777.50,766.25,773.80,773.25,774.38,18397,1211,16624,90.36
10-Oct-2017,773.25,769.00,792.00,769.00,785.00,785.10,775.65,21307,1024,16178,75.93
11-Oct-2017,785.10,784.00,789.00,780.45,786.00,785.15,785.07,8017,505,6824,85.12
12-Oct-2017,785.15,778.25,796.95,778.25,790.00,790.05,787.05,52067,874,48387,92.93
