DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,608.80,611.50,625.00,604.70,615.00,615.65,614.39,14036,489,10145,72.28
03-Aug-2016,615.65,624.35,625.00,611.65,623.05,619.10,617.24,13522,498,10164,75.17
04-Aug-2016,619.10,641.00,686.95,632.25,674.00,675.90,654.42,188696,8916,118338,62.71
05-Aug-2016,675.90,675.50,709.00,663.55,694.00,698.75,682.38,100383,3359,66939,66.68
08-Aug-2016,698.75,705.00,729.00,685.00,686.00,686.50,695.60,19683,1481,12054,61.24
09-Aug-2016,686.50,693.00,716.00,680.00,706.00,709.55,698.95,68918,1333,61702,89.53
10-Aug-2016,709.55,708.95,724.95,695.00,719.90,716.95,713.03,23536,1117,16545,70.30
11-Aug-2016,716.95,723.00,723.00,685.60,696.50,695.55,702.23,12439,799,7205,57.92
12-Aug-2016,695.55,696.00,696.05,671.50,677.00,678.95,681.71,7889,906,4725,59.89
16-Aug-2016,678.95,680.05,680.05,658.05,660.00,662.20,670.80,8607,515,6098,70.85
17-Aug-2016,662.20,676.05,688.00,648.00,680.00,679.80,667.71,10998,901,6227,56.62
18-Aug-2016,679.80,694.00,697.00,672.50,681.15,683.05,683.02,4103,478,2544,62.00
19-Aug-2016,683.05,690.00,690.00,676.00,682.20,685.70,683.45,4556,251,3539,77.68
22-Aug-2016,685.70,688.00,705.25,685.00,691.50,690.90,692.31,12173,1308,10066,82.69
23-Aug-2016,690.90,686.10,703.00,666.00,683.00,678.80,680.88,7018,438,4020,57.28
24-Aug-2016,678.80,680.25,681.60,672.00,674.50,678.60,678.63,9585,323,8029,83.77
25-Aug-2016,678.60,683.95,696.00,677.05,695.00,692.20,684.12,10334,316,8968,86.78
26-Aug-2016,692.20,692.00,722.00,683.30,705.10,714.65,708.25,25954,962,15271,58.84
29-Aug-2016,714.65,719.00,735.70,710.05,732.80,733.15,728.70,24702,2560,16263,65.84
30-Aug-2016,733.15,739.95,743.00,715.05,727.50,729.55,730.01,13937,765,6810,48.86
31-Aug-2016,729.55,729.00,734.80,709.50,715.25,716.30,714.17,23105,2860,18914,81.86
01-Sep-2016,716.30,719.95,733.00,708.00,715.00,720.15,719.30,26176,854,24040,91.84
