DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
14-Sep-2016,154.25,155.90,160.00,150.55,154.25,154.25,155.46,399600,8734,320944,80.32
15-Sep-2016,154.25,153.20,155.90,150.50,154.00,153.35,152.92,184278,7949,155210,84.23
16-Sep-2016,153.35,153.90,157.75,142.30,150.00,149.35,151.16,764664,13038,654417,85.58
19-Sep-2016,149.35,151.10,153.75,150.00,150.60,151.05,151.22,153251,1514,114819,74.92
20-Sep-2016,151.05,151.00,151.00,148.00,150.80,150.40,149.86,82420,910,65286,79.21
21-Sep-2016,150.40,151.85,153.85,150.25,150.90,152.00,152.00,297371,1138,271497,91.30
22-Sep-2016,152.00,152.00,153.65,150.25,152.00,151.60,151.56,80355,860,59423,73.95
23-Sep-2016,151.60,152.10,152.60,147.10,147.10,147.45,149.51,66387,1303,56293,84.80
26-Sep-2016,147.45,146.15,147.55,142.25,145.85,145.45,144.97,129825,845,110032,84.75
27-Sep-2016,145.45,145.15,149.00,143.00,145.00,145.20,146.57,229601,1515,140809,61.33
28-Sep-2016,145.20,142.65,149.00,142.65,145.50,147.60,146.68,96894,1377,83121,85.79
29-Sep-2016,147.60,148.05,150.90,146.95,148.60,148.25,148.57,276417,2663,238868,86.42
30-Sep-2016,148.25,137.20,151.50,137.20,150.00,150.00,149.46,62566,2153,51681,82.60
03-Oct-2016,150.00,150.00,159.20,150.00,158.40,157.15,155.73,119234,3227,90331,75.76
04-Oct-2016,157.15,154.00,159.70,153.90,159.60,159.20,157.95,39962,1563,34767,87.00
05-Oct-2016,159.20,157.20,160.00,154.60,157.05,159.20,158.39,160051,2378,128887,80.53
06-Oct-2016,159.20,157.20,159.90,154.75,157.00,156.75,157.17,303284,2518,280172,92.38
07-Oct-2016,156.75,155.35,158.70,153.10,154.00,155.40,155.14,68887,759,52638,76.41
10-Oct-2016,155.40,157.40,158.70,151.90,151.90,152.45,153.77,22973,357,15769,68.64
13-Oct-2016,152.45,150.30,153.00,145.55,150.00,147.85,147.95,82668,2488,64049,77.48
14-Oct-2016,147.85,148.05,159.90,148.00,159.00,156.10,151.62,145559,1501,119326,81.98
17-Oct-2016,156.10,159.90,159.90,151.00,152.70,153.40,153.43,164299,3201,137938,83.96
18-Oct-2016,153.40,157.00,158.10,151.20,156.30,155.90,154.64,222594,1473,204459,91.85
19-Oct-2016,155.90,155.00,160.00,152.00,155.00,155.25,155.31,2121972,3571,1990726,93.81
20-Oct-2016,155.25,154.00,159.95,152.50,157.00,157.90,156.26,232500,1641,167805,72.17
21-Oct-2016,157.90,155.05,160.00,155.05,159.00,158.85,158.96,175308,1447,95942,54.73
24-Oct-2016,158.85,159.80,179.70,155.20,177.00,174.60,173.49,1721337,18075,1089291,63.28
25-Oct-2016,174.60,175.00,175.00,165.00,169.00,168.55,168.91,228432,4947,140112,61.34
26-Oct-2016,168.55,168.20,172.95,165.10,170.00,170.00,169.51,466822,4472,400325,85.76
27-Oct-2016,170.00,170.00,171.00,163.35,169.35,168.15,165.89,148702,2228,103227,69.42
28-Oct-2016,168.15,167.00,174.35,165.60,165.60,166.40,170.65,285621,3997,228030,79.84
30-Oct-2016,166.40,168.40,171.75,168.10,169.10,170.15,169.78,65539,617,49836,76.04
01-Nov-2016,170.15,170.65,171.00,165.50,166.30,166.80,167.48,86487,1138,59972,69.34
02-Nov-2016,166.80,164.00,165.50,158.50,158.80,160.00,160.31,421503,5861,373543,88.62
03-Nov-2016,160.00,160.00,161.00,156.00,157.05,157.70,158.81,173039,3276,128292,74.14
04-Nov-2016,157.70,157.05,158.90,148.00,149.05,150.00,151.99,126264,1490,95188,75.39
07-Nov-2016,150.00,153.10,157.30,152.80,154.00,154.35,154.70,553661,7068,393572,71.09
08-Nov-2016,154.35,154.00,155.05,146.05,148.00,147.05,147.82,445321,5969,350040,78.60
09-Nov-2016,147.05,122.30,144.05,122.30,142.30,140.15,137.84,300152,1903,250621,83.50
10-Nov-2016,140.15,142.30,146.05,142.00,142.00,142.45,144.25,77149,1127,57521,74.56
11-Nov-2016,142.45,140.20,142.45,130.50,136.25,134.50,134.61,366878,2443,307967,83.94
15-Nov-2016,134.50,133.00,139.00,124.00,127.40,127.10,128.14,310128,1815,235415,75.91
16-Nov-2016,127.10,129.80,135.90,125.65,135.40,134.35,133.27,492082,7862,407274,82.77
17-Nov-2016,134.35,131.95,133.00,128.25,128.80,129.95,130.91,200378,2838,167909,83.80
18-Nov-2016,129.95,128.80,130.50,126.10,127.00,127.30,128.63,237260,4408,192586,81.17
21-Nov-2016,127.30,128.10,128.15,118.75,123.00,123.15,122.76,325232,2318,278930,85.76
22-Nov-2016,123.15,123.95,129.50,121.10,125.50,126.60,125.12,246577,4899,220315,89.35
23-Nov-2016,126.60,127.35,135.65,127.35,133.10,133.45,132.65,287779,8762,196835,68.40
24-Nov-2016,133.45,133.00,135.95,130.85,134.00,133.75,134.22,174294,1420,153827,88.26
25-Nov-2016,133.75,133.65,138.05,130.10,135.00,134.65,135.39,349810,11008,259692,74.24
28-Nov-2016,134.65,135.95,135.95,127.65,129.00,128.35,130.51,252789,8251,218219,86.32
29-Nov-2016,128.35,129.90,133.40,124.00,125.25,124.65,129.15,373676,11921,289393,77.44
30-Nov-2016,124.65,125.00,126.90,120.00,123.50,123.10,122.58,349111,11388,256659,73.52
01-Dec-2016,123.10,121.15,125.50,121.15,121.95,121.90,123.05,179766,3101,151064,84.03
02-Dec-2016,121.90,121.85,121.85,119.20,120.05,120.15,120.51,126412,5837,98868,78.21
05-Dec-2016,120.15,118.00,121.75,115.45,120.25,120.15,119.62,363287,20510,314321,86.52
06-Dec-2016,120.15,121.10,130.00,120.15,123.00,122.55,124.56,1898080,33735,1125942,59.32
07-Dec-2016,122.55,124.90,125.00,121.25,123.75,124.05,123.47,289110,5112,213937,74.00
08-Dec-2016,124.05,125.50,130.45,123.50,128.00,127.40,127.86,399190,4557,307749,77.09
09-Dec-2016,127.40,126.75,131.40,124.55,126.75,126.70,128.45,350824,4396,240850,68.65
12-Dec-2016,126.70,127.90,130.00,122.30,125.20,125.10,126.76,150689,2580,90094,59.79
13-Dec-2016,125.10,123.70,126.40,123.70,126.10,126.10,125.65,44811,1036,27462,61.28
14-Dec-2016,126.10,127.75,131.00,125.25,129.50,129.20,128.43,109454,1261,81912,74.84
15-Dec-2016,129.20,127.20,129.90,125.55,127.25,127.30,127.43,115842,1122,75620,65.28
16-Dec-2016,127.30,127.20,133.45,126.25,129.40,131.30,130.45,223484,3326,139016,62.20
19-Dec-2016,131.30,132.00,133.55,128.25,131.80,131.25,130.84,192921,2160,140921,73.05
20-Dec-2016,131.25,130.05,132.50,125.40,125.55,126.45,127.76,100103,2735,76362,76.28
21-Dec-2016,126.45,127.90,129.40,126.50,127.50,127.95,127.72,64454,802,44660,69.29
22-Dec-2016,127.95,125.75,126.95,121.70,122.20,122.10,123.57,130733,1889,110894,84.82
23-Dec-2016,122.10,121.80,125.00,121.65,122.50,123.70,124.45,74986,2430,59823,79.78
26-Dec-2016,123.70,121.30,123.45,120.00,120.45,120.40,121.19,40503,618,25104,61.98
27-Dec-2016,120.40,120.10,121.70,119.85,121.00,120.80,120.78,110577,2415,79309,71.72
28-Dec-2016,120.80,120.90,126.50,120.90,125.25,125.60,124.64,155221,653,141095,90.90
29-Dec-2016,125.60,124.95,126.70,124.25,125.30,126.10,125.36,19774,337,8907,45.04
30-Dec-2016,126.10,124.40,129.40,124.40,129.00,128.40,128.44,103495,1904,75323,72.78
02-Jan-2017,128.40,129.50,131.70,126.30,131.00,131.00,129.81,37821,500,28756,76.03
03-Jan-2017,131.00,132.00,134.70,128.50,132.55,132.95,131.09,90352,976,69090,76.47
04-Jan-2017,132.95,133.95,148.50,133.50,147.00,147.65,142.80,761336,8534,482234,63.34
05-Jan-2017,147.65,148.50,151.50,142.60,151.30,150.40,147.45,326679,7663,190972,58.46
06-Jan-2017,150.40,150.00,153.35,147.00,152.75,152.25,149.96,160098,5687,103108,64.40
09-Jan-2017,152.25,147.45,153.95,147.45,153.00,152.55,151.36,130748,2753,95773,73.25
10-Jan-2017,152.55,152.00,160.25,150.20,159.00,158.85,157.85,921735,5241,844297,91.60
11-Jan-2017,158.85,161.10,163.40,153.70,161.25,161.55,161.14,755021,4606,649544,86.03
12-Jan-2017,161.55,162.00,164.00,156.00,159.00,159.25,161.60,1287862,4675,1210624,94.00
13-Jan-2017,159.25,156.25,164.00,156.25,163.00,162.40,160.39,607675,3009,573039,94.30
16-Jan-2017,162.40,158.00,164.00,158.00,163.00,162.85,162.48,55342,1058,37449,67.67
17-Jan-2017,162.85,162.05,164.00,158.20,163.00,163.50,162.41,83049,2100,58297,70.20
18-Jan-2017,163.50,161.05,166.55,160.50,165.00,165.50,165.33,86387,1150,68852,79.70
19-Jan-2017,165.50,165.55,167.00,162.10,165.00,165.60,165.47,76334,2783,58606,76.78
20-Jan-2017,165.60,165.05,172.00,165.00,165.00,165.40,167.40,158762,1553,130218,82.02
23-Jan-2017,165.40,165.95,167.35,164.45,165.05,165.20,165.49,68167,925,53188,78.03
24-Jan-2017,165.20,164.00,174.00,164.00,171.00,171.10,170.41,274891,10844,189703,69.01
25-Jan-2017,171.10,172.40,172.80,169.00,171.95,171.75,171.84,622942,5584,587862,94.37
27-Jan-2017,171.75,170.20,174.90,169.05,171.25,172.00,172.06,176157,2902,150558,85.47
30-Jan-2017,172.00,170.00,175.90,168.85,172.10,172.55,171.28,159819,3619,126485,79.14
31-Jan-2017,172.55,170.75,174.45,169.95,172.70,173.30,171.13,70942,4797,49273,69.46
01-Feb-2017,173.30,169.45,177.50,164.55,169.65,172.45,171.54,142246,3691,92279,64.87
02-Feb-2017,172.45,171.60,179.70,170.35,176.45,174.10,175.36,160217,1871,110074,68.70
03-Feb-2017,174.10,173.10,184.20,170.00,184.00,178.85,175.54,225110,7459,156006,69.30
06-Feb-2017,178.85,180.10,191.80,180.10,191.80,189.00,185.95,183249,3771,116150,63.38
07-Feb-2017,189.00,189.50,226.80,181.40,221.00,221.05,210.97,3956692,28478,1442431,36.46
08-Feb-2017,221.05,221.50,228.00,213.25,214.50,216.10,220.95,1752064,24363,459429,26.22
09-Feb-2017,216.10,217.00,221.00,206.10,219.90,219.15,215.10,769066,9523,323627,42.08
10-Feb-2017,219.15,220.00,225.75,212.90,214.50,214.45,218.79,816573,4561,619417,75.86
13-Feb-2017,214.45,216.00,225.50,210.95,216.00,214.45,218.72,563939,7437,182317,32.33
