DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,598.00,598.05,605.65,572.40,572.60,577.35,589.00,1175498,20834,563981,47.98
03-Aug-2016,577.35,573.90,573.90,550.00,551.00,553.10,559.67,1027356,27811,353922,34.45
04-Aug-2016,553.10,550.00,564.90,520.35,529.90,529.25,530.33,2860860,56063,1137181,39.75
05-Aug-2016,529.25,530.90,535.00,525.85,530.25,530.65,531.56,596809,16049,206413,34.59
08-Aug-2016,530.65,534.90,552.10,533.25,548.00,548.55,545.27,807290,20280,296526,36.73
09-Aug-2016,548.55,549.00,550.40,540.00,548.00,547.35,544.86,514508,12945,235253,45.72
10-Aug-2016,547.35,546.90,547.00,528.55,533.15,533.10,533.53,765497,17610,490737,64.11
11-Aug-2016,533.10,529.95,533.90,521.60,533.00,531.30,528.83,1048807,17475,477162,45.50
12-Aug-2016,531.30,531.45,538.40,528.10,532.40,534.40,534.60,375383,9910,144372,38.46
16-Aug-2016,534.40,532.00,537.35,529.15,537.00,535.80,534.38,271234,11638,131855,48.61
17-Aug-2016,535.80,535.50,547.70,534.00,542.00,542.15,543.49,406262,12568,114308,28.14
18-Aug-2016,542.15,546.00,548.90,540.40,546.05,546.30,544.98,514543,15463,214544,41.70
19-Aug-2016,546.30,548.00,553.50,544.55,550.00,551.05,549.24,464081,9506,194910,42.00
22-Aug-2016,551.05,549.00,559.70,547.35,556.40,557.20,554.55,619919,11469,257309,41.51
23-Aug-2016,557.20,558.80,558.80,540.75,545.00,544.15,546.95,647908,20873,225866,34.86
24-Aug-2016,544.15,543.00,547.40,534.00,543.00,543.40,542.43,413181,12351,102963,24.92
25-Aug-2016,543.40,543.00,546.80,530.60,538.00,536.65,539.47,428397,10773,165255,38.58
26-Aug-2016,536.65,533.10,541.00,532.05,533.95,533.75,536.20,175480,5388,45209,25.76
29-Aug-2016,533.75,534.00,538.15,525.10,532.90,532.75,532.73,270640,8301,44428,16.42
30-Aug-2016,532.75,532.75,540.75,532.60,536.00,535.45,537.78,412796,10344,198447,48.07
31-Aug-2016,535.45,536.00,538.60,532.60,535.00,534.45,535.40,654573,10715,387683,59.23
01-Sep-2016,534.45,534.45,547.60,532.45,539.05,537.85,540.91,581231,10657,119113,20.49
02-Sep-2016,537.85,539.20,543.80,536.90,538.05,538.15,540.51,199550,5572,60114,30.12
06-Sep-2016,538.15,540.00,540.25,532.60,534.25,534.55,535.07,338978,10182,196164,57.87
07-Sep-2016,534.55,536.95,543.90,534.00,537.00,537.35,539.17,370663,8718,147580,39.82
08-Sep-2016,537.35,535.10,542.35,535.10,540.00,538.50,539.83,197358,6108,53803,27.26
09-Sep-2016,538.50,539.00,548.00,537.00,542.00,542.85,544.31,518371,10513,134593,25.96
12-Sep-2016,542.85,538.90,538.90,526.00,529.00,530.00,533.77,457416,10402,201551,44.06
14-Sep-2016,530.00,528.80,528.80,511.05,527.00,525.95,519.89,715845,16368,243746,34.05
15-Sep-2016,525.95,526.05,534.30,520.05,531.75,532.05,527.55,534254,13522,164801,30.85
16-Sep-2016,532.05,533.30,537.20,524.45,526.65,526.25,531.28,508804,12129,173635,34.13
19-Sep-2016,526.25,532.00,532.00,519.10,523.20,523.35,522.95,618237,15181,211634,34.23
20-Sep-2016,523.35,523.00,527.00,519.00,520.00,521.55,522.29,417644,12805,151277,36.22
21-Sep-2016,521.55,520.00,520.00,508.35,511.00,510.30,514.28,615004,19364,257733,41.91
22-Sep-2016,510.30,512.50,516.40,507.65,510.25,511.50,511.44,897304,40965,367767,40.99
23-Sep-2016,511.50,512.00,520.70,502.45,503.40,506.65,512.38,867894,20167,437396,50.40
26-Sep-2016,506.65,506.00,506.00,498.00,502.55,501.70,500.54,1052110,12321,630989,59.97
27-Sep-2016,501.70,501.90,507.05,498.00,500.00,499.90,500.69,455900,11050,202629,44.45
28-Sep-2016,499.90,499.95,505.40,499.50,502.50,503.35,503.11,280004,7690,72513,25.90
29-Sep-2016,503.35,506.00,508.50,475.85,485.55,483.35,491.83,831212,12694,412488,49.62
30-Sep-2016,483.35,475.25,496.65,475.25,489.00,490.30,490.32,458338,11326,229335,50.04
03-Oct-2016,490.30,493.00,501.70,491.15,495.40,496.55,497.54,237396,7354,76861,32.38
04-Oct-2016,496.55,498.00,499.60,487.15,488.90,489.05,492.12,353932,11604,166275,46.98
05-Oct-2016,489.05,490.00,496.35,485.50,491.30,492.30,491.37,447612,11769,123151,27.51
06-Oct-2016,492.30,494.00,496.50,483.00,486.00,486.65,491.00,294744,9089,100190,33.99
07-Oct-2016,486.65,487.00,496.20,485.45,494.80,494.65,492.28,534863,12164,255776,47.82
10-Oct-2016,494.65,497.00,507.50,495.25,500.50,501.05,503.52,567161,12028,143952,25.38
13-Oct-2016,501.05,500.75,505.75,492.30,495.00,496.20,498.29,536169,14766,212633,39.66
14-Oct-2016,496.20,495.00,498.45,484.75,486.80,486.80,488.28,714482,12858,348525,48.78
17-Oct-2016,486.80,485.00,486.80,480.60,481.85,482.55,483.23,279908,6890,78816,28.16
18-Oct-2016,482.55,485.00,490.60,482.25,486.10,488.45,486.05,274364,7141,91590,33.38
19-Oct-2016,488.45,491.50,495.90,486.50,495.20,495.15,493.26,302068,8581,84509,27.98
20-Oct-2016,495.15,497.40,501.65,489.00,490.25,494.90,496.42,462421,10045,258534,55.91
21-Oct-2016,494.90,494.50,497.80,491.10,492.75,492.55,494.15,238237,5945,91577,38.44
24-Oct-2016,492.55,495.50,496.35,487.20,489.00,488.50,490.38,234510,7456,110011,46.91
25-Oct-2016,488.50,491.00,491.95,480.60,483.10,481.90,483.52,437832,8709,253729,57.95
26-Oct-2016,481.90,482.00,485.90,479.00,481.00,481.10,482.84,414790,9902,237200,57.19
27-Oct-2016,481.10,481.10,487.35,469.80,479.85,482.95,477.55,598318,14053,230924,38.60
28-Oct-2016,482.95,483.00,486.00,479.25,480.95,481.30,482.94,264991,6050,106504,40.19
30-Oct-2016,481.30,482.70,487.40,480.00,481.00,481.60,482.64,114251,2607,57511,50.34
01-Nov-2016,481.60,481.80,486.40,481.50,483.50,483.85,484.60,240027,5414,95146,39.64
02-Nov-2016,483.85,481.95,481.95,470.20,471.50,471.60,475.87,233375,7161,106605,45.68
03-Nov-2016,471.60,474.45,476.10,458.15,458.65,459.30,466.41,364807,16861,165103,45.26
04-Nov-2016,459.30,459.35,469.40,448.80,457.30,455.60,456.32,553656,17730,276885,50.01
07-Nov-2016,455.60,462.00,465.30,457.00,460.00,460.65,462.08,341992,7548,209559,61.28
08-Nov-2016,460.65,462.80,466.65,460.65,462.90,463.45,463.83,311047,15240,183621,59.03
09-Nov-2016,463.45,439.90,455.20,422.35,454.90,454.05,443.64,486585,9883,216818,44.56
