DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1017.35,1021.00,1024.95,993.50,1010.00,1001.05,1009.65,302860,15727,129765,42.85
03-Aug-2016,1001.05,1004.75,1004.90,966.65,968.05,973.35,979.26,334629,15443,90635,27.09
04-Aug-2016,973.35,973.60,997.75,960.00,991.10,991.15,985.51,354974,15026,81670,23.01
05-Aug-2016,991.15,995.00,1049.95,992.50,1035.00,1037.75,1024.57,491741,24949,135148,27.48
08-Aug-2016,1037.75,1039.90,1039.90,1014.00,1021.00,1020.40,1022.32,180856,7121,35251,19.49
09-Aug-2016,1020.40,1022.75,1022.75,993.00,1004.00,1002.30,1007.08,211630,16244,72352,34.19
10-Aug-2016,1002.30,1000.00,1025.50,997.00,1013.40,1011.15,1014.43,252033,10548,77608,30.79
11-Aug-2016,1011.15,1005.00,1017.60,976.70,982.05,987.10,996.46,214608,9282,49265,22.96
12-Aug-2016,987.10,986.00,1005.95,983.00,987.10,992.15,996.21,165725,9206,28194,17.01
16-Aug-2016,992.15,998.80,1018.90,984.00,1010.00,1009.05,1008.34,264522,15662,59411,22.46
17-Aug-2016,1009.05,1010.00,1025.00,1010.00,1022.55,1022.30,1019.56,179976,9368,43594,24.22
18-Aug-2016,1022.30,1023.00,1036.05,1019.00,1023.00,1027.25,1029.66,281938,8602,146334,51.90
19-Aug-2016,1027.25,1027.95,1050.00,1012.00,1040.00,1039.15,1037.79,240307,11414,46030,19.15
22-Aug-2016,1039.15,1042.00,1058.65,1014.90,1017.00,1020.00,1036.26,431610,12251,231455,53.63
23-Aug-2016,1020.00,1019.90,1028.80,1012.50,1025.05,1024.35,1019.61,232645,10925,88450,38.02
24-Aug-2016,1024.35,1024.00,1041.80,1021.40,1032.00,1033.10,1034.36,155187,6107,35509,22.88
25-Aug-2016,1033.10,1035.00,1045.90,1030.90,1039.10,1037.45,1039.48,161805,9991,50790,31.39
26-Aug-2016,1037.45,1037.45,1083.40,1037.45,1058.95,1056.35,1060.71,665298,26541,222696,33.47
29-Aug-2016,1056.35,1059.65,1068.50,1042.10,1058.20,1059.05,1059.33,238055,10227,45758,19.22
30-Aug-2016,1059.05,1061.25,1079.55,1056.20,1067.65,1066.20,1068.17,183315,8978,31533,17.20
31-Aug-2016,1066.20,1073.00,1085.00,1062.15,1069.00,1065.85,1072.58,190939,8694,48319,25.31
01-Sep-2016,1065.85,1066.50,1073.10,1058.30,1061.50,1066.20,1066.25,127525,4787,59738,46.84
02-Sep-2016,1066.20,1073.80,1088.00,1062.45,1073.70,1079.35,1080.79,251082,9489,57386,22.86
06-Sep-2016,1079.35,1084.80,1084.80,1062.60,1065.15,1066.45,1073.27,95971,5578,28590,29.79
07-Sep-2016,1066.45,1072.00,1101.00,1055.55,1083.00,1082.15,1078.22,215589,8996,60231,27.94
08-Sep-2016,1082.15,1076.70,1097.00,1075.00,1083.00,1082.85,1084.82,136985,7534,46862,34.21
09-Sep-2016,1082.85,1090.00,1090.00,1062.20,1075.00,1073.30,1073.92,93822,5791,27686,29.51
12-Sep-2016,1073.30,1062.25,1085.95,1036.00,1043.00,1046.85,1061.53,170632,11559,38243,22.41
14-Sep-2016,1046.85,1046.00,1060.90,1018.85,1020.50,1025.15,1041.40,369467,13854,234077,63.36
15-Sep-2016,1025.15,980.00,980.00,892.80,902.95,900.15,921.93,2385867,69568,440087,18.45
16-Sep-2016,900.15,909.55,927.00,891.30,921.70,922.05,911.20,1119445,36366,152490,13.62
19-Sep-2016,922.05,929.90,934.00,907.70,909.90,909.95,918.66,443613,23224,135440,30.53
20-Sep-2016,909.95,913.40,916.80,895.05,904.00,905.00,902.11,668886,14458,413223,61.78
21-Sep-2016,905.00,908.00,915.50,893.30,897.50,899.65,903.92,275952,11586,54472,19.74
22-Sep-2016,899.65,910.00,915.90,906.00,911.00,910.90,910.84,235056,12299,82017,34.89
23-Sep-2016,910.90,914.00,936.05,908.55,912.90,914.95,925.30,560483,19099,180088,32.13
26-Sep-2016,914.95,911.15,928.00,910.50,919.45,919.00,919.28,217148,13422,66179,30.48
27-Sep-2016,919.00,924.00,926.70,900.00,906.00,904.55,915.28,227715,9042,107611,47.26
28-Sep-2016,904.55,907.15,915.90,901.00,908.50,908.85,909.46,197649,7606,36092,18.26
29-Sep-2016,908.85,914.00,918.90,856.55,872.00,874.85,886.28,359191,12942,134725,37.51
30-Sep-2016,874.85,868.00,882.85,859.65,875.50,876.05,873.24,198295,9157,51825,26.14
03-Oct-2016,876.05,896.00,905.25,877.10,904.00,901.75,893.91,229357,11219,92833,40.48
04-Oct-2016,901.75,903.00,922.00,902.25,911.25,910.15,912.53,229939,11731,86368,37.56
05-Oct-2016,910.15,920.00,920.00,900.25,905.00,903.35,905.89,167022,8127,57471,34.41
06-Oct-2016,903.35,908.00,925.00,904.10,910.35,912.25,915.89,266987,11466,95347,35.71
07-Oct-2016,912.25,906.00,922.00,902.25,906.00,908.25,913.21,122491,4789,20724,16.92
10-Oct-2016,908.25,910.85,919.95,902.65,908.00,906.55,909.85,85386,3501,25580,29.96
13-Oct-2016,906.55,908.85,928.00,896.80,910.90,912.30,910.08,263105,11864,70856,26.93
14-Oct-2016,912.30,924.90,949.50,916.10,948.00,945.50,937.54,645307,28217,186206,28.86
17-Oct-2016,945.50,950.00,959.50,921.25,922.50,927.20,943.40,324803,10870,50186,15.45
18-Oct-2016,927.20,931.60,941.50,927.50,935.00,933.65,934.67,137939,8674,31066,22.52
19-Oct-2016,933.65,937.50,943.95,928.35,931.85,932.10,936.06,99062,5097,23864,24.09
20-Oct-2016,932.10,933.15,947.90,933.10,939.10,940.55,940.52,166911,6027,81281,48.70
21-Oct-2016,940.55,939.00,941.00,918.55,927.60,927.85,929.65,92161,5263,28888,31.35
24-Oct-2016,927.85,935.00,953.05,921.50,923.65,928.00,935.55,130034,6345,18675,14.36
25-Oct-2016,928.00,922.50,939.20,910.00,930.00,935.10,928.65,214683,8970,59002,27.48
26-Oct-2016,935.10,929.00,936.15,911.55,914.20,914.90,921.42,95075,5009,28077,29.53
27-Oct-2016,914.90,916.85,929.80,900.15,926.80,920.65,917.29,219984,8455,32375,14.72
28-Oct-2016,920.65,929.00,945.45,921.75,941.50,941.05,935.45,205077,9195,68539,33.42
30-Oct-2016,941.05,945.00,945.00,936.00,939.60,939.40,940.18,27669,1156,9331,33.72
01-Nov-2016,939.40,937.00,944.00,920.35,920.35,924.90,934.53,72074,4577,23741,32.94
02-Nov-2016,924.90,914.00,920.00,904.10,911.00,914.90,911.76,158985,6634,53348,33.56
03-Nov-2016,914.90,915.45,924.95,887.10,889.95,891.55,906.22,160380,6851,37503,23.38
04-Nov-2016,891.55,888.90,894.95,868.00,875.00,877.45,880.51,251518,8459,24553,9.76
07-Nov-2016,877.45,886.30,905.25,877.05,888.00,887.45,891.67,217626,11564,24870,11.43
08-Nov-2016,887.45,890.10,918.80,890.10,909.00,909.65,909.62,158425,6602,32377,20.44
09-Nov-2016,909.65,835.15,882.85,818.70,870.00,869.95,862.29,242262,13940,74233,30.64
10-Nov-2016,869.95,880.00,919.50,880.00,907.05,909.05,897.00,141792,7147,34840,24.57
11-Nov-2016,909.05,902.00,910.00,866.35,892.30,887.70,885.04,204054,6925,74170,36.35
15-Nov-2016,887.70,880.00,888.65,858.05,859.05,863.15,868.67,134712,5696,38554,28.62
16-Nov-2016,863.15,880.00,880.00,842.50,860.00,863.45,861.23,155199,6320,47040,30.31
17-Nov-2016,863.45,866.45,872.30,815.00,825.55,821.65,836.88,234863,15172,102494,43.64
18-Nov-2016,821.65,814.90,835.00,795.00,821.00,821.80,808.48,517929,22737,144431,27.89
21-Nov-2016,821.80,823.80,833.15,800.00,809.00,807.85,810.18,158028,7482,46771,29.60
22-Nov-2016,807.85,811.30,819.05,780.25,785.00,785.05,791.85,247631,13024,47377,19.13
23-Nov-2016,785.05,795.00,798.40,771.00,787.95,786.05,780.84,259587,9041,48161,18.55
24-Nov-2016,786.05,788.00,796.45,775.95,784.00,786.30,786.84,260971,8558,104392,40.00
25-Nov-2016,786.30,786.30,810.95,775.50,809.00,805.05,796.15,292243,10001,44033,15.07
28-Nov-2016,805.05,810.00,830.00,800.00,830.00,825.60,819.63,277894,12336,57223,20.59
29-Nov-2016,825.60,827.00,844.00,827.00,840.05,837.50,837.87,167198,7247,28970,17.33
30-Nov-2016,837.50,840.10,846.00,835.10,844.00,843.05,841.56,128234,4596,32649,25.46
01-Dec-2016,843.05,846.00,852.10,822.25,833.20,830.65,835.08,112882,4613,22025,19.51
02-Dec-2016,830.65,833.00,833.00,816.95,830.45,827.95,824.80,141290,5969,37384,26.46
05-Dec-2016,827.95,830.00,850.00,818.15,847.00,839.50,829.51,153716,10791,39056,25.41
06-Dec-2016,839.50,845.95,882.00,840.60,877.45,873.00,868.52,389444,16746,45314,11.64
07-Dec-2016,873.00,876.10,886.00,860.10,862.60,863.55,874.02,211293,7013,26346,12.47
08-Dec-2016,863.55,870.00,921.70,870.00,919.00,915.40,909.71,842979,25268,88445,10.49
09-Dec-2016,915.40,922.00,933.30,906.00,928.90,927.40,921.29,404743,11863,34010,8.40
12-Dec-2016,927.40,927.00,933.00,900.00,906.00,906.05,918.22,194862,5730,29139,14.95
13-Dec-2016,906.05,909.00,917.25,892.00,916.00,912.30,907.11,109550,5624,11972,10.93
14-Dec-2016,912.30,913.40,915.90,895.00,896.50,897.35,901.26,121833,4185,21900,17.98
15-Dec-2016,897.35,893.95,931.00,888.10,927.00,926.65,921.90,364287,11380,65671,18.03
16-Dec-2016,926.65,937.80,939.00,913.10,918.00,916.55,923.64,211415,7601,55796,26.39
19-Dec-2016,916.55,919.80,932.00,907.55,913.55,914.60,920.15,136467,4809,17049,12.49
20-Dec-2016,914.60,914.10,931.75,900.55,907.50,906.20,919.06,223489,7637,60228,26.95
21-Dec-2016,906.20,908.10,930.25,908.10,929.90,924.70,920.64,328732,11020,60177,18.31
22-Dec-2016,924.70,929.90,972.00,928.05,968.00,963.70,948.80,1400137,39658,184483,13.18
23-Dec-2016,963.70,981.00,983.00,962.10,977.00,971.55,974.96,1185014,31836,108858,9.19
26-Dec-2016,971.55,965.00,965.05,935.00,950.10,950.25,949.00,398696,13664,53354,13.38
27-Dec-2016,950.25,960.70,989.00,952.35,974.00,975.70,975.21,808561,22989,107324,13.27
28-Dec-2016,975.70,980.75,985.00,970.15,977.00,974.40,978.77,367041,12219,52228,14.23
29-Dec-2016,974.40,977.10,997.95,974.55,985.15,986.05,988.62,555233,15810,78051,14.06
30-Dec-2016,986.05,986.00,1006.95,985.90,1004.00,1000.60,999.94,460675,11507,117571,25.52
02-Jan-2017,1000.60,1004.00,1006.50,989.15,999.30,996.30,995.92,150354,5041,18409,12.24
03-Jan-2017,996.30,1002.80,1015.95,996.20,1012.00,1009.30,1008.92,285489,8424,41276,14.46
04-Jan-2017,1009.30,1013.80,1023.00,1002.75,1006.00,1005.80,1013.09,202005,7800,41245,20.42
05-Jan-2017,1005.80,1006.40,1017.50,993.60,995.15,1001.60,1009.26,150463,7134,29488,19.60
